delta_e,power_total,T_rotor
-0.34906585,564887.1698,56067.47414
-0.345575192,565476.697,56043.44277
-0.342084533,566067.6279,56019.41729
-0.338593875,566659.9488,55995.39768
-0.335103216,567255.4108,55971.38408
-0.331612558,567853.3877,55947.37642
-0.328121899,568450.8925,55923.37446
-0.324631241,569049.0545,55899.37828
-0.321140582,569648.429,55875.38792
-0.317649924,570248.9813,55851.40335
-0.314159265,570850.8819,55827.42458
-0.310668607,571454.2561,55803.45161
-0.307177948,572058.9008,55779.48442
-0.30368729,572664.9173,55755.523
-0.300196631,573272.8961,55731.56738
-0.296705973,573882.2091,55707.61749
-0.293215314,574493.3209,55683.67343
-0.289724656,575105.7852,55659.73506
-0.286233997,575719.4528,55635.80239
-0.282743339,576348.3484,55611.87652
-0.27925268,576980.629,55587.95655
-0.275762022,577613.0617,55564.04214
-0.272271363,578246.9586,55540.13342
-0.268780705,578882.3055,55516.23038
-0.265290046,579519.0935,55492.33297
-0.261799388,580157.3024,55468.44123
-0.258308729,580796.9192,55444.55513
-0.254818071,581437.8035,55420.67463
-0.251327412,582080.7579,55396.79981
-0.247836754,582725.6729,55372.93063
-0.244346095,583371.9436,55349.06704
-0.240855437,584019.1447,55325.20899
-0.237364778,584653.9632,55301.35544
-0.23387412,585276.5883,55277.50638
-0.230383461,585900.1157,55253.66283
-0.226892803,586524.6204,55229.82478
-0.223402144,587150.2556,55205.99224
-0.219911486,587776.8953,55182.16518
-0.216420827,588404.4826,55158.34358
-0.212930169,589033.1011,55134.52745
-0.20943951,589663.0516,55110.71679
-0.205948852,590294.9621,55086.91164
-0.202458193,590927.7796,55063.11191
-0.198967535,591563.405,55039.31774
-0.195476876,592205.8341,55015.52942
-0.191986218,592848.9852,54991.74646
-0.188495559,593493.4071,54967.96891
-0.185004901,594138.6772,54944.19671
-0.181514242,594784.7866,54920.42985
-0.178023584,595431.7261,54896.66831
-0.174532925,596079.4604,54872.91209
-0.171042267,596727.8312,54849.16117
-0.167551608,597376.9424,54825.41549
-0.16406095,598025.2253,54801.67501
-0.160570291,598672.8051,54777.93966
-0.157079633,599321.2399,54754.20956
-0.153588974,599974.5753,54730.48503
-0.150098316,600628.6702,54706.76572
-0.146607657,601283.3681,54683.05161
-0.143116999,601938.4779,54659.34267
-0.13962634,602594.4592,54635.63888
-0.136135682,603249.9646,54611.94025
-0.132645023,603906.0313,54588.24672
-0.129154365,604562.8269,54564.55834
-0.125663706,605220.2654,54540.87508
-0.122173048,605878.3832,54517.19693
-0.118682389,606538.6966,54493.52401
-0.115191731,607201.077,54469.85628
-0.111701072,607864.6536,54446.19366
-0.108210414,608529.3224,54422.53614
-0.104719755,609194.6403,54398.88366
-0.101229097,609860.6045,54375.2362
-0.097738438,610526.3271,54351.59371
-0.09424778,611194.9575,54327.95639
-0.090757121,611870.0854,54304.3245
-0.087266463,612544.2588,54280.69748
-0.083775804,613218.6328,54257.07538
-0.080285146,613893.6637,54233.45822
-0.076794487,614568.9642,54209.84596
-0.073303829,615244.2783,54186.23858
-0.06981317,615919.7004,54162.63606
-0.066322512,616597.3998,54139.03856
-0.062831853,617275.8331,54115.44594
-0.059341195,617954.8827,54091.85816
-0.055850536,618634.4856,54068.27522
-0.052359878,619314.6235,54044.69711
-0.048869219,619996.5021,54021.1239
-0.045378561,620679.1137,53997.55549
-0.041887902,621362.3034,53973.99185
-0.038397244,622045.5463,53950.43294
-0.034906585,622729.2243,53926.87878
-0.031415927,623412.1674,53903.32922
-0.027925268,624095.3169,53879.78436
-0.02443461,624778.4102,53856.24415
-0.020943951,625463.3261,53832.70872
-0.017453293,626149.1223,53809.17797
-0.013962634,626836.1858,53785.65193
-0.010471976,627523.771,53762.13052
-0.006981317,628211.8723,53738.61372
-0.003490659,628900.4835,53715.10151
0,629590.1376,53691.59392
0.003490659,630280.3337,53668.09089
0.006981317,630971.0227,53644.5924
0.010471976,631662.1266,53621.09843
0.013962634,632351.215,53597.60877
0.017453293,633040.7824,53574.1236
0.020943951,633729.4737,53550.6428
0.02443461,634417.5637,53527.16636
0.027925268,635106.119,53503.69435
0.031415927,635795.141,53480.22675
0.034906585,636485.1206,53456.76358
0.038397244,637175.7884,53433.30481
0.041887902,637867.2034,53409.85041
0.045378561,638561.1076,53386.4005
0.048869219,639254.9459,53362.95487
0.052359878,639949.1226,53339.51352
0.055850536,640643.8697,53316.07646
0.059341195,641339.1492,53292.64365
0.062831853,642034.8354,53269.21511
0.066322512,642730.3697,53245.79067
0.06981317,643428.9418,53222.37065
0.073303829,644127.9151,53198.9548
0.076794487,644827.2411,53175.54326
0.080285146,645531.587,53152.13586
0.083775804,646236.5158,53128.73274
0.087266463,646941.8287,53105.3337
0.090757121,647647.5226,53081.93871
0.09424778,648353.5942,53058.54775
0.097738438,649059.7331,53035.16078
0.101229097,649765.2583,53011.77771
0.104719755,650472.8175,52988.39873
0.108210414,651182.2361,52965.0238
0.111701072,651892.1054,52941.65278
0.115191731,652602.1998,52918.28561
0.118682389,653312.5338,52894.92236
0.122173048,654025.5111,52871.56308
0.125663706,654739.2874,52848.20764
0.129154365,655453.4179,52824.85597
0.132645023,656167.896,52801.50806
0.136135682,656882.7229,52778.16388
0.13962634,657597.9139,52754.82342
0.143116999,658314.6593,52731.48668
0.146607657,659031.7451,52708.1536
0.150098316,659749.1704,52684.82414
0.153588974,660466.9371,52661.49827
0.157079633,661182.9722,52638.17577
0.160570291,661898.631,52614.85677
0.16406095,662614.6348,52591.54125
0.167551608,663330.872,52568.22919
0.171042267,664046.5479,52544.92047
0.174532925,664763.0146,52521.61518
