delta_e,power_total,T_rotor
-0.34906585,629346.7575,53937.09623
-0.345575192,629441.8395,53935.55999
-0.342084533,629537.014,53934.024
-0.338593875,629632.281,53932.48826
-0.335103216,629727.6467,53930.95278
-0.331612558,629823.2071,53929.41755
-0.328121899,629918.8594,53927.88257
-0.324631241,630014.6035,53926.34784
-0.321140582,630110.4394,53924.81337
-0.317649924,630206.3667,53923.27915
-0.314159265,630302.3852,53921.74517
-0.310668607,630398.3509,53920.21145
-0.307177948,630494.2912,53918.67797
-0.30368729,630590.4486,53917.14475
-0.300196631,630686.7974,53915.61178
-0.296705973,630779.5838,53914.07894
-0.293215314,630867.6003,53912.54618
-0.289724656,630955.7244,53911.01368
-0.286233997,631043.9561,53909.48142
-0.282743339,631132.2951,53907.94942
-0.27925268,631220.7414,53906.41766
-0.275762022,631309.2942,53904.88616
-0.272271363,631397.9541,53903.35492
-0.268780705,631486.7207,53901.82392
-0.265290046,631575.5937,53900.29317
-0.261799388,631664.5729,53898.76267
-0.258308729,631753.658,53897.23243
-0.254818071,631842.849,53895.70244
-0.251327412,631932.1456,53894.17269
-0.247836754,632021.5485,53892.6432
-0.244346095,632112.4764,53891.11401
-0.240855437,632210.1999,53889.5853
-0.237364778,632308.0115,53888.05684
-0.23387412,632405.9121,53886.52863
-0.230383461,632503.9016,53885.00067
-0.226892803,632601.9797,53883.47296
-0.223402144,632700.1464,53881.94549
-0.219911486,632798.4015,53880.41828
-0.216420827,632896.7448,53878.89132
-0.212930169,632995.1761,53877.36461
-0.20943951,633093.6954,53875.83815
-0.205948852,633192.3024,53874.31194
-0.202458193,633290.9971,53872.78598
-0.198967535,633389.7792,53871.26026
-0.195476876,633488.6485,53869.7348
-0.191986218,633587.6142,53868.20958
-0.188495559,633686.6738,53866.68462
-0.185004901,633785.8022,53865.1599
-0.181514242,633884.9869,53863.63543
-0.178023584,633984.2575,53862.11122
-0.174532925,634083.6145,53860.58724
-0.171042267,634183.0577,53859.06352
-0.167551608,634282.5869,53857.54005
-0.16406095,634382.202,53856.01683
-0.160570291,634481.9029,53854.49385
-0.157079633,634581.6893,53852.97113
-0.153588974,634681.5612,53851.44865
-0.150098316,634781.5184,53849.92642
-0.146607657,634881.5607,53848.40444
-0.143116999,634981.6881,53846.88271
-0.13962634,635081.9003,53845.36122
-0.136135682,635182.1956,53843.83999
-0.132645023,635282.5754,53842.319
-0.129154365,635383.0395,53840.79826
-0.125663706,635484.9876,53839.27782
-0.122173048,635587.1223,53837.75763
-0.118682389,635689.2982,53836.23768
-0.115191731,635791.5569,53834.71798
-0.111701072,635893.8988,53833.19853
-0.108210414,635996.3239,53831.67933
-0.104719755,636098.4081,53830.16036
-0.101229097,636200.4951,53828.64164
-0.097738438,636302.6649,53827.12316
-0.09424778,636404.9174,53825.60493
-0.090757121,636507.2525,53824.08695
-0.087266463,636609.67,53822.56922
-0.083775804,636712.1698,53821.05173
-0.080285146,636814.6373,53819.53449
-0.076794487,636917.1279,53818.01749
-0.073303829,637020.1654,53816.50076
-0.06981317,637123.7169,53814.98429
-0.066322512,637227.3489,53813.46806
-0.062831853,637331.0627,53811.95208
-0.059341195,637434.8571,53810.43635
-0.055850536,637538.7323,53808.92086
-0.052359878,637642.6883,53807.40562
-0.048869219,637746.7249,53805.89063
-0.045378561,637850.842,53804.37588
-0.041887902,637955.0395,53802.86138
-0.038397244,638059.3172,53801.34713
-0.034906585,638163.6766,53799.83312
-0.031415927,638268.1145,53798.31936
-0.027925268,638372.6323,53796.80584
-0.02443461,638477.2298,53795.29258
-0.020943951,638581.9068,53793.77955
-0.017453293,638686.6633,53792.26678
-0.013962634,638791.4992,53790.75425
-0.010471976,638896.4145,53789.24196
-0.006981317,639001.4086,53787.72993
-0.003490659,639106.5348,53786.21816
0,639211.9577,53784.70662
0.003490659,639317.4596,53783.19533
0.006981317,639423.0377,53781.68429
0.010471976,639528.692,53780.17349
0.013962634,639634.4249,53778.66293
0.017453293,639740.2363,53777.15262
0.020943951,639846.126,53775.64256
0.02443461,639952.0939,53774.13274
0.027925268,640058.2369,53772.62318
0.031415927,640164.8487,53771.11386
0.034906585,640271.5348,53769.6048
0.038397244,640378.2978,53768.09598
0.041887902,640485.1386,53766.5874
0.045378561,640592.057,53765.07907
0.048869219,640699.053,53763.57099
0.052359878,640806.1265,53762.06315
0.055850536,640913.2772,53760.55555
0.059341195,641020.5992,53759.0482
0.062831853,641126.25,53757.54104
0.066322512,641225.2337,53756.03389
0.06981317,641324.3124,53754.52699
0.073303829,641423.4857,53753.02033
0.076794487,641522.7536,53751.51392
0.080285146,641622.1161,53750.00775
0.083775804,641721.5728,53748.50183
0.087266463,641821.1238,53746.99615
0.090757121,641920.7689,53745.49072
0.09424778,642020.5078,53743.98553
0.097738438,642120.3428,53742.48058
0.101229097,642220.6686,53740.97589
0.104719755,642321.0874,53739.47145
0.108210414,642422.0137,53737.96727
0.111701072,642523.7116,53736.46332
0.115191731,642625.4876,53734.95968
0.118682389,642727.3637,53733.45625
0.122173048,642830.6743,53731.95309
0.125663706,642940.0517,53730.45045
0.129154365,643049.5324,53728.94796
0.132645023,643159.0265,53727.44578
0.136135682,643268.5616,53725.94381
0.13962634,643378.1768,53724.44208
0.143116999,643487.8635,53722.9406
0.146607657,643597.6265,53721.43937
0.150098316,643707.4658,53719.93838
0.153588974,643817.3812,53718.43764
0.157079633,643927.3736,53716.93713
0.160570291,644037.441,53715.43687
0.16406095,644147.5842,53713.93686
0.167551608,644257.803,53712.43708
0.171042267,644368.0974,53710.93755
0.174532925,644478.4672,53709.43826
0.178023584,644588.9114,53707.93922
0.181514242,644699.4249,53706.44044
0.185004901,644810.0202,53704.94188
0.188495559,644920.6905,53703.44356
0.191986218,645031.4356,53701.94549
0.195476876,645142.2555,53700.44765
0.198967535,645253.15,53698.95006
0.202458193,645364.1189,53697.45272
0.205948852,645475.1622,53695.95561
0.20943951,645586.2798,53694.45874
0.212930169,645697.4716,53692.96212
0.216420827,645808.7374,53691.46574
0.219911486,645920.0771,53689.9696
0.223402144,646031.5666,53688.47371
0.226892803,646143.2418,53686.97806
0.230383461,646254.9907,53685.48265
0.23387412,646366.8131,53683.98749
0.237364778,646478.7089,53682.49256
0.240855437,646589.2238,53680.99783
0.244346095,646699.8006,53679.50334
0.247836754,646810.4536,53678.00909
0.251327412,646921.1827,53676.51508
0.254818071,647031.9878,53675.02132
0.258308729,647142.8688,53673.52779
0.261799388,647253.8256,53672.03451
0.265290046,647365.0373,53670.54147
0.268780705,647476.3356,53669.04868
0.272271363,647587.813,53667.55613
0.275762022,647699.4586,53666.06382
0.27925268,647811.1794,53664.57175
0.282743339,647922.9753,53663.07993
0.286233997,648034.846,53661.58835
0.289724656,648146.7916,53660.097
0.293215314,648258.812,53658.6059
0.296705973,648370.9081,53657.11503
0.300196631,648483.0119,53655.62441
0.30368729,648595.1543,53654.13403
0.307177948,648714.4227,53652.64412
0.310668607,648843.5888,53651.15479
0.314159265,648972.7909,53649.6657
0.317649924,649101.9243,53648.17685
0.321140582,649231.0045,53646.68823
0.324631241,649360.1205,53645.19985
0.328121899,649489.2724,53643.7117
0.331612558,649618.4601,53642.2238
0.335103216,649747.6984,53640.73609
0.338593875,649876.9554,53639.24867
0.342084533,650006.2481,53637.76149
0.345575192,650135.5764,53636.27454
0.34906585,650264.9384,53634.78784
