delta_e,power_total,T_rotor
-0.34906585,590520.5823,63890.62802
-0.345575192,589817.252,63800.48841
-0.342084533,589115.0166,63710.31055
-0.338593875,588414.2853,63620.09265
-0.335103216,587715.7405,63529.83204
-0.331612558,587019.3758,63439.52839
-0.328121899,586325.1845,63349.18139
-0.324631241,585633.1604,63258.79073
-0.321140582,584943.297,63168.35611
-0.317649924,584255.5878,63077.87724
-0.314159265,583570.0265,62987.35383
-0.310668607,582886.6074,62896.7856
-0.307177948,582205.2923,62806.17274
-0.30368729,581526.1022,62715.51458
-0.300196631,580849.0354,62624.81077
-0.296705973,580174.0857,62534.06108
-0.293215314,579501.2469,62443.26525
-0.289724656,578830.5127,62352.42305
-0.286233997,578161.877,62261.53423
-0.282743339,577495.3334,62170.59857
-0.27925268,576830.8759,62079.61585
-0.275762022,576168.4984,61988.58585
-0.272271363,575508.1946,61897.50837
-0.268780705,574849.9586,61806.38321
-0.265290046,574193.7841,61715.21017
-0.261799388,573539.6651,61623.98907
-0.258308729,572887.5956,61532.71972
-0.254818071,572237.5695,61441.40195
-0.251327412,571589.5808,61350.0356
-0.247836754,570943.6236,61258.6205
-0.244346095,570299.6917,61167.1565
-0.240855437,569657.7792,61075.64345
-0.237364778,569017.8802,60984.08121
-0.23387412,568379.9887,60892.46965
-0.230383461,567744.0989,60800.80865
-0.226892803,567110.2046,60709.09807
-0.223402144,566478.3002,60617.33781
-0.219911486,565848.3796,60525.52775
-0.216420827,565220.437,60433.66781
-0.212930169,564594.4666,60341.75788
-0.20943951,563970.4624,60249.79788
-0.205948852,563348.4186,60157.78773
-0.202458193,562728.3295,60065.72734
-0.198967535,562110.1891,59973.61667
-0.195476876,561493.9917,59881.45563
-0.191986218,560879.7314,59789.24418
-0.188495559,560267.4025,59696.98228
-0.185004901,559656.9992,59604.66987
-0.181514242,559048.5156,59512.30693
-0.178023584,558441.9461,59419.89342
-0.174532925,557837.2849,59327.42932
-0.171042267,557234.5262,59234.91462
-0.167551608,556633.6643,59142.3493
-0.16406095,556034.6933,59049.73337
-0.160570291,555437.6077,58957.06682
-0.157079633,554842.4017,58864.34966
-0.153588974,554249.0694,58771.58191
-0.150098316,553657.6053,58678.76359
-0.146607657,555822.4817,58571.23073
-0.143116999,559637.97,58455.08944
-0.13962634,563493.2798,58339.05841
-0.136135682,567368.2646,58223.13341
-0.132645023,571261.8107,58107.31353
-0.129154365,575181.9122,57991.5994
-0.125663706,579237.697,57876.00868
-0.122173048,583714.2357,57760.58841
-0.118682389,588211.0908,57645.26977
-0.115191731,592728.0761,57530.05192
-0.111701072,597266.8312,57414.93435
-0.108210414,599422.2491,57299.51812
-0.104719755,605578.8501,57184.85977
-0.101229097,608983.5221,57069.84184
-0.097738438,612396.5529,56954.92037
-0.09424778,615813.9359,56840.09386
-0.090757121,619260.8501,56725.36552
-0.087266463,623316.8999,56610.82774
-0.083775804,627377.799,56496.38139
-0.080285146,631445.954,56382.02591
-0.076794487,635531.4741,56267.76195
-0.073303829,639621.1607,56153.58639
-0.06981317,643710.7148,56039.49754
-0.066322512,647792.2236,55925.49312
-0.062831853,651872.3486,55811.57313
-0.059341195,655948.1,55697.73597
-0.055850536,660015.1892,55583.97986
-0.052359878,664075.126,55470.30379
-0.048869219,668133.4609,55356.70751
-0.045378561,672186.7386,55243.18908
-0.041887902,676237.0768,55129.74752
-0.038397244,680278.1469,55016.38044
-0.034906585,684323.3112,54903.0883
-0.031415927,688373.781,54789.86993
-0.027925268,692441.7355,54676.72519
-0.02443461,696514.516,54563.65053
-0.020943951,700607.6846,54450.64629
-0.017453293,704716.2522,54337.70973
-0.013962634,708835.807,54224.83803
-0.010471976,712961.9777,54112.02822
-0.006981317,717218.1537,53999.29536
-0.003490659,721478.321,53886.6186
0,725738.8664,53773.99451
0.004363323,731054.3621,53633.28224
0.008726646,736360.139,53492.63885
0.013089969,741665.0534,53352.05814
0.017453293,746973.1864,53211.5318
0.021816616,752288.5474,53071.04987
0.026179939,757613.9352,52930.60101
0.030543262,762934.7753,52790.16942
0.034906585,768259.4362,52649.73978
0.039269908,773607.6924,52509.29493
0.043633231,778978.9238,52368.81077
0.047996554,784277.2548,52228.24571
0.052359878,789120.2675,52087.51595
