delta_e,T_prop,T_rotor
-0.174532925199433,947833.019054768,53955.0882237721
-0.15707963267949,947833.019054768,53955.0882237721
-0.139626340159546,947833.019054768,53955.0882237721
-0.122173047639603,947833.019054768,53955.0882237721
-0.10471975511966,947833.019054768,53955.0882237721
-0.0872664625997165,947833.019054768,53955.0882237721
-0.0698131700797732,947833.019054768,53955.0882237721
-0.0523598775598299,947833.019054768,53955.0882237721
-0.0349065850398866,947833.019054768,53955.0882237721
-0.0174532925199433,947833.019054768,53955.0882237721
0,947833.019054768,53955.0882237721
0.0174532925199433,947833.019054768,53955.0882237721
0.0349065850398866,947833.019054768,53955.0882237721
0.0523598775598299,947833.019054768,53955.0882237721
0.0698131700797732,947833.019054768,53955.0882237721
0.0872664625997165,947833.019054768,53955.0882237721
