delta_e,T_prop,T_rotor
-0.349065850398866,666550.737512098,72537.7448065591
-0.345575191894877,665015.308618527,72385.7902753425
-0.342084533390889,663495.377031235,72234.1137913689
-0.3385938748869,661989.905380397,72082.6976693101
-0.335103216382911,660498.596603625,71931.5202938339
-0.331612557878923,659021.177500845,71780.5608544074
-0.328121899374934,657557.945809113,71629.798178559
-0.324631240870945,656108.816573769,71479.2126176266
-0.321140582366957,654673.707752075,71328.7852141578
-0.317649923862968,653253.342682192,71178.4952988032
-0.314159265358979,651846.663358567,71028.3278756345
-0.310668606854991,650453.75491451,70878.265544325
-0.307177948351002,649074.541074839,70728.2917370788
-0.303687289847013,647780.958350548,70578.6479115529
-0.300196631343025,646577.695843806,70429.3284315087
-0.296705972839036,645386.22505393,70280.0289174498
-0.293215314335047,644204.74819428,70130.7419868651
-0.289724655831059,643033.125563372,69981.4537648009
-0.28623399732707,641871.295739519,69832.1505272342
-0.282743338823081,640719.19746261,69682.8189577341
-0.279252680319093,639576.769614245,69533.4461332981
-0.275762021815104,638443.951207606,69384.0195113863
-0.272271363311115,637321.245572002,69234.5251278755
-0.268780704807127,636209.351490699,69084.948777498
-0.265290046303138,635106.829774754,68935.2833768803
-0.261799387799149,634013.620301635,68785.5177940621
-0.258308729295161,632929.663105723,68635.6412268857
-0.254818070791172,631854.898389805,68485.6431951167
-0.251327412287183,630789.266537074,68335.513533153
-0.247836753783195,629732.708123231,68185.2423832637
-0.244346095279206,628685.055221615,68034.8203765167
-0.240855436775217,627646.22134693,67884.2382979273
-0.237364778271229,626616.292657046,67733.4869271528
-0.23387411976724,625595.210558502,67582.557579561
-0.230383461263251,624582.916704127,67431.4418510151
-0.226892802759263,623579.353001654,67280.1316134293
-0.223402144255274,622581.609048434,67128.2663118075
-0.219911485751285,621590.197479823,66975.9966646534
-0.216420827247297,620612.502443217,66824.2921518016
-0.212930168743308,619643.351468773,66672.3832871132
-0.20943951023932,618682.821557207,66520.2615096254
-0.205948851735331,617730.853842932,66367.9194668719
-0.202458193231342,616787.3898028,66215.3500802103
-0.198967534727354,615852.371253065,66062.5465412616
-0.195476876223365,614925.740346035,65909.5023085441
-0.191986217719376,614007.439566363,65756.2111042821
-0.188495559215388,613097.411727004,65602.6669113766
-0.185004900711399,612195.599964829,65448.8639705207
-0.18151424220741,611301.948240265,65294.7967774472
-0.178023583703422,610408.210847692,65140.4362883046
-0.174532925199433,609385.282821972,64985.4043501441
-0.171042266695444,608383.006527352,64830.1330572832
-0.167551608191456,607401.255446585,64674.6172776664
-0.164060949687467,606439.902034785,64518.8521140578
-0.160570291183478,605498.817711111,64362.8329025494
-0.15707963267949,604577.87285039,64206.5552111273
-0.153588974175501,603676.936774671,64050.0148382873
-0.150098315671512,602795.87774472,63893.2078116955
-0.146607657167524,601934.56295146,63736.130386887
-0.143116998663535,601092.858507334,63578.779045997
-0.139626340159546,600270.629437616,63421.1504965187
-0.136135681655558,599467.739671648,63263.241670084
-0.132645023151569,598684.052034017,63105.04972126
-0.12915436464758,597919.428235655,62946.5720263588
-0.125663706143592,597173.728864873,62787.806182255
-0.122173047639603,596446.813378326,62628.7500052079
-0.118682389135614,598076.816436787,62458.7476760753
-0.115191730631626,606990.060363287,62218.4098265809
-0.111701072127637,618121.051201841,61979.3062155109
-0.108210413623648,630687.614421634,61741.1237806502
-0.10471975511966,643893.781797436,61503.5530195156
-0.101229096615671,657140.27671134,61266.365193829
-0.0977384381116825,670404.608550791,61029.5475276499
-0.0942477796076938,682462.743973889,60792.654776402
-0.0907571211037051,692721.442571741,60555.4818717325
-0.0872664625997165,704463.403626122,60319.2014797372
-0.0837758040957278,717899.348980669,60083.8700499137
-0.0802851455917392,730133.35050971,59848.4597228859
-0.0767944870877505,742384.342896149,59613.3967417905
-0.0733038285837618,754627.214930169,59378.667325194
-0.0698131700797732,766371.634080684,59144.099826586
-0.0663225115757845,778502.16570824,58909.990601861
-0.0628318530717959,790586.661204955,58676.1864466416
-0.0593411945678072,802742.349441361,58442.7205589561
-0.0558505360638185,816237.906582784,58210.0006202982
-0.0523598775598299,830384.455041074,57977.7845713327
-0.0488692190558412,841587.970302322,57744.9075154565
-0.0453785605518526,854799.688408121,57512.9611839082
-0.0418879020478639,865393.586981536,57280.4665693205
-0.0383972435438752,876586.283984672,57048.4393346345
-0.0349065850398866,888916.891356788,56817.0320810245
-0.0314159265358979,901200.553860452,56585.8636185537
-0.0279252680319093,913444.403749385,56354.9266055799
-0.0244346095279206,925645.687886999,56124.2088045336
-0.020943951023932,937794.624797687,55893.6988773058
-0.0174532925199433,949883.700418366,55663.3790749163
-0.0139626340159546,961914.380977784,55433.2367253344
-0.010471975511966,973898.20563479,55203.2592262381
-0.00698131700797732,985828.182832723,54973.4261450499
-0.00349065850398866,997711.344760672,54743.7181097751
0,1010163.40451362,54514.2766454408
0.0174532925199433,1070058.99866479,53366.7284984413
0.0349065850398866,1126336.91581095,52210.1389292688
