delta_e,T_prop,T_rotor
-0.349065850398866,564887.169833585,56067.4741378617
-0.345575191894877,565476.696987289,56043.4427694721
-0.342084533390889,566067.627921825,56019.4172880415
-0.3385938748869,566659.948816363,55995.397682023
-0.335103216382911,567255.410750265,55971.3840807085
-0.331612557878923,567853.387675568,55947.3764227591
-0.328121899374934,568450.892514952,55923.3744638795
-0.324631240870945,569049.054524165,55899.3782832439
-0.321140582366957,569648.428950696,55875.3879158221
-0.317649923862968,570248.98128023,55851.4033455566
-0.314159265358979,570850.881860616,55827.4245771857
-0.310668606854991,571454.256111391,55803.4516101574
-0.307177948351002,572058.900813891,55779.4844180395
-0.303687289847013,572664.91731996,55755.5229985611
-0.300196631343025,573272.896122562,55731.567375956
-0.296705972839036,573882.209144356,55707.6174920328
-0.293215314335047,574493.320913892,55683.6734331947
-0.289724655831059,575105.785180808,55659.7350617815
-0.28623399732707,575719.452766345,55635.8023850683
-0.282743338823081,576348.348448299,55611.8765180648
-0.279252680319093,576980.628959198,55587.9565496508
-0.275762021815104,577613.061675676,55564.0421431674
-0.272271363311115,578246.958587833,55540.1334216163
-0.268780704807127,578882.305466087,55516.2303753924
-0.265290046303138,579519.093488422,55492.332972447
-0.261799387799149,580157.302372959,55468.4412298183
-0.258308729295161,580796.919194593,55444.5551337148
-0.254818070791172,581437.803529398,55420.6746323991
-0.251327412287183,582080.757948982,55396.7998076912
-0.247836753783195,582725.672868724,55372.9306297353
-0.244346095279206,583371.94355973,55349.06704021
-0.240855436775217,584019.144683446,55325.2089946422
-0.237364778271229,584653.963217226,55301.3554400448
-0.23387411976724,585276.588289375,55277.5063799521
-0.230383461263251,585900.115738888,55253.6628286935
-0.226892802759263,586524.620438919,55229.8247808203
-0.223402144255274,587150.255617937,55205.9922369916
-0.219911485751285,587776.895271829,55182.1651759237
-0.216420827247297,588404.482552952,55158.3435817319
-0.212930168743308,589033.101060188,55134.5274494613
-0.20943951023932,589663.051631467,55110.7167911007
-0.205948851735331,590294.962062124,55086.9116440396
-0.202458193231342,590927.779551827,55063.1119143401
-0.198967534727354,591563.405039384,55039.3177388122
-0.195476876223365,592205.834096259,55015.5294178007
-0.191986217719376,592848.985230558,54991.7464639987
-0.188495559215388,593493.40706557,54967.9689086179
-0.185004900711399,594138.677240378,54944.1967066241
-0.18151424220741,594784.786598714,54920.4298452974
-0.178023583703422,595431.726060292,54896.6683118677
-0.174532925199433,596079.460361056,54872.9120914318
-0.171042266695444,596727.831197851,54849.1611687099
-0.167551608191456,597376.942360591,54825.4154916016
-0.164060949687467,598025.225328492,54801.6750138616
-0.160570291183478,598672.8051273,54777.9396630303
-0.15707963267949,599321.239895365,54754.2095591862
-0.153588974175501,599974.575303291,54730.4850331984
-0.150098315671512,600628.670241605,54706.7657212441
-0.146607657167524,601283.368149894,54683.0516079356
-0.143116998663535,601938.477851533,54659.342665772
-0.139626340159546,602594.459172685,54635.6388837946
-0.136135681655558,603249.96462411,54611.9402459688
-0.132645023151569,603906.031265397,54588.2467185091
-0.12915436464758,604562.826889718,54564.5583352854
-0.125663706143592,605220.265444504,54540.8750764617
-0.122173047639603,605878.383229038,54517.1969317696
-0.118682389135614,606538.696623114,54493.5240131982
-0.115191730631626,607201.077022786,54469.856283209
-0.111701072127637,607864.653635729,54446.1936646159
-0.108210413623648,608529.322380232,54422.5361414287
-0.10471975511966,609194.640285293,54398.8836627291
-0.101229096615671,609860.604510157,54375.2361960672
-0.0977384381116824,610526.32706015,54351.5937102168
-0.0942477796076938,611194.957456914,54327.9563890043
-0.0907571211037051,611870.085386808,54304.3245042211
-0.0872664625997165,612544.258754981,54280.69747654
-0.0837758040957279,613218.632834112,54257.0753752727
-0.0802851455917392,613893.663683471,54233.4582228813
-0.0767944870877505,614568.964228486,54209.8459634991
-0.0733038285837619,615244.278311595,54186.2385787586
-0.0698131700797732,615919.700370261,54162.6360615887
-0.0663225115757845,616597.399754298,54139.0385642869
-0.0628318530717959,617275.833141649,54115.4459386005
-0.0593411945678072,617954.88270716,54091.8581579957
-0.0558505360638186,618634.48556668,54068.2752246483
-0.0523598775598299,619314.623534152,54044.6971115276
-0.0488692190558412,619996.502077705,54021.1238966762
-0.0453785605518526,620679.113728425,53997.5554868706
-0.0418879020478639,621362.303394557,53973.9918544552
-0.0383972435438753,622045.546267096,53950.4329433099
-0.0349065850398866,622729.224301934,53926.8787767981
-0.0314159265358979,623412.167353493,53903.3292199499
-0.0279252680319093,624095.316942396,53879.7843594065
-0.0244346095279206,624778.410243697,53856.24414847
-0.020943951023932,625463.32610927,53832.7087158663
-0.0174532925199433,626149.12230877,53809.1779722672
-0.0139626340159547,626836.185754307,53785.6519312527
-0.010471975511966,627523.771022588,53762.1305186221
-0.00698131700797733,628211.872275374,53738.6137171568
-0.00349065850398866,628900.483474314,53715.1015105379
0,629590.137599176,53691.5939194702
0.00349065850398864,630280.333703341,53668.0908912463
0.0069813170079773,630971.022651857,53644.5924036445
0.010471975511966,631662.126579032,53621.0984325578
0.0139626340159546,632351.214958365,53597.6087744793
0.0174532925199433,633040.782417972,53574.1236028504
0.020943951023932,633729.473744089,53550.642795238
0.0244346095279206,634417.563745789,53527.1663550677
0.0279252680319093,635106.118960608,53503.6943537876
0.0314159265358979,635795.140950187,53480.2267482098
0.0349065850398866,636485.120626089,53456.7635817576
0.0383972435438752,637175.788424715,53433.3048065096
0.0418879020478639,637867.203357047,53409.8504086019
0.0453785605518525,638561.107621736,53386.400500344
0.0488692190558412,639254.945879992,53362.9548669038
0.0523598775598299,639949.122624637,53339.5135189685
0.0558505360638185,640643.869703683,53316.0764550271
0.0593411945678072,641339.149210095,53292.6436514719
0.0628318530717959,642034.835367636,53269.215112526
0.0663225115757845,642730.369656388,53245.7906710821
0.0698131700797732,643428.941806195,53222.3706537446
0.0733038285837618,644127.915107403,53198.9548027273
0.0767944870877505,644827.241077671,53175.5432591784
0.0802851455917391,645531.587013641,53152.1358595744
0.0837758040957278,646236.51579815,53128.732739485
0.0872664625997165,646941.828709748,53105.3336962927
0.0907571211037051,647647.522552613,53081.9387070765
0.0942477796076938,648353.594249371,53058.5477486318
0.0977384381116825,649059.733091101,53035.1607753974
0.101229096615671,649765.258299859,53011.7777094912
0.10471975511966,650472.817472948,52988.3987284733
0.108210413623648,651182.236141666,52965.0237973325
0.111701072127637,651892.105356081,52941.6527822966
0.115191730631626,652602.199835452,52918.2856053508
0.118682389135614,653312.533759226,52894.9223594978
0.122173047639603,654025.511149934,52871.5630772352
0.125663706143592,654739.287381909,52848.2076361966
0.12915436464758,655453.41786075,52824.8559668952
0.132645023151569,656167.896012256,52801.5080600564
0.136135681655558,656882.722879935,52778.1638796376
0.139626340159546,657597.913918732,52754.8234230353
0.143116998663535,658314.659299703,52731.4866824914
0.146607657167524,659031.745071511,52708.1535988371
0.150098315671512,659749.170386516,52684.8241433427
0.153588974175501,660466.93710047,52661.4982726624
0.15707963267949,661182.972159381,52638.1757747104
0.160570291183478,661898.6309615,52614.8567665616
0.164060949687467,662614.63475459,52591.54125363
0.167551608191456,663330.871982064,52568.2291851799
0.171042266695444,664046.547910564,52544.920472427
0.174532925199433,664763.0146398,52521.6151802534
