U,theta_preconfig
0,0.0460949361127434
1,0.047727914661173
2,0.0492961122458911
3,0.0506498770981553
4,0.051905387658401
5,0.0530663101995552
6,0.0541124036457912
7,0.0558556622021055
8,0.0564642038097219
9,0.0569308653956132
10,0.0571312741691314
11,0.0571181381736622
12,0.0570087902526772
13,0.0566218484339361
14,0.0563173732577448
15,0.0559652337877322
16,0.0555505824947074
17,0.0550840650324863
18,0.0545476327651744
19,0.0539331368807891
20,0.0532821331466872
21,0.0526102238045611
22,0.0519123996203973
23,0.0511730155578416
24,0.0504363967075562
25,0.0496740177394818
26,0.0489001857110228
27,0.0481017689212941
28,0.0472970565689482
29,0.0464883222623426
30,0.0456864862521005
31,0.0448690639124474
32,0.0440465708368381
33,0.0432468698300422
34,0.0424266704696796
35,0.0415909806738388
36,0.0407377976540333
37,0.039864773746149
38,0.0389745915010091
39,0.0380701974095834
40,0.0371497932549883
41,0.0362080857653014
42,0.0352598897461762
43,0.0343362366199935
44,0.0333521044879622
45,0.0323319150059613
46,0.0313765981575851
47,0.0304254111470367
48,0.0293864639100147
49,0.0282845720119795
50,0.0271364313262174
51,0.0261053630627879
52,0.0249664356702637
53,0.0238123786722365
54,0.0226505516818405
55,0.0214725345394101
56,0.0202401167437925
57,0.0190537395328474
58,0.0178728653880358
59,0.0166466520917979
60,0.0154001183130058
61,0.0141304440645002
62,0.0128401925072026
63,0.011536025896485
64,0.0102369966763433
65,0.00891500468668492
66,0.00765587914424283
67,0.00632729439000373
68,0.00500420528395622
69,0.00358172109626954
70,0.00216474749094832
71,0.000758527886315627
72,-0.000669044621157341
73,-0.00212023529995467
74,-0.00359238841420836
75,-0.00508710832769751
76,-0.00660708859436096
77,-0.00816382365083851
78,-0.00974261169238275
79,-0.0113781234554061
80,-0.0129703469419134
81,-0.0145872238708664
82,-0.0161998840110101
83,-0.0181018968997546
84,-0.0196124146742257
85,-0.0214115108478515
86,-0.0232419762359366
87,-0.0251048767483155
88,-0.026974008670645
89,-0.0288691376375177
90,-0.0308007171249679
91,-0.03276823434507
92,-0.0347743496068902
93,-0.0368203718656918
94,-0.0388989330587527
95,-0.041021051777498
96,-0.0431887768116477
97,-0.0454041289454061
98,-0.0476696141093449
99,-0.0499876966372588
100,-0.0523598775598299
