U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_iprop,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total,T_prop,T_rotor
50,0.219682637929505,0.00219920752933902,0.00295592961823245,-0.0451075675983137,0.0271364273662153,0.00170274335547273,2.10566341027131,2.55157928224831,6.10610014430676,0.729347268580999,1,0,0,0,0,3.33535799669797,2.83634251519663,0.0159328510975234,-0.00120034537922499,-0.0163113665552769,0.0195652622463886,-0.00634581900446322,-0.0182656401328073,239642.166609297,273766.421122227,11903.3830784472,651206.232220372,2182.5333028009,53690.373309244
55,0.239380682942487,0.0011264750170272,0.00151507046925398,-0.0927939438808037,0.0214725304609757,0.00206935602498447,2.07917878459601,2.37152322869646,2.5416233470616,0.714635838754454,1,-0.112340206783297,0,0,0,3.0552314446282,2.5540260462481,0.0176491764797944,0.024885489478467,-0.0325121781023942,0.0202493320895685,0.0219918789657432,-0.0326176321234737,250550.09682575,274040.313548016,11902.9981888494,595970.252236955,931.730069285079,56408.3819746427
60,0.243611537290132,0.000939554831967644,0.00176996389801118,-0.0972750055079446,0.0154001155230367,0.00209797801346383,1.9308626715874,2.15469617322829,3.46049864035971,0.755368275535221,1,-0.0825958631929711,0,0,0,2.65605189782066,2.24057129827294,0.0178890327131286,0.024430135872781,-0.0307035037587889,0.0200607084736292,0.0213592870902718,-0.0314951780892324,252069.045343041,270076.887545254,11902.5942768204,628751.515765414,1399.08995274631,56457.7157677504
65,0.249763026006119,0.000711579636257112,0.00207283253550488,-0.10353596827888,0.00891499988827033,0.00223705199040366,1.80870489381961,1.97281028515601,4.21172637437327,0.79423400858352,1,-0.066371675780066,0,0,0,2.35179930148325,2.01360253605288,0.0181905112720514,0.0243820179554555,-0.0294882905385632,0.0199136692517227,0.0212103524520534,-0.0310536830645648,255144.262433624,268380.452421095,11902.2331731617,671828.771774209,1857.16282469863,56593.2656114612
70,0.257223534599565,0.000517639023887614,0.00247494958303228,-0.110490923729801,0.00216474257541525,0.00251557661030606,1.70214140951463,1.82060071480605,4.94604476730921,0.833050317493695,1,-0.0555555508381294,0,0,0,2.11220686325481,1.84008649291335,0.0184841372641222,0.0241721045318617,-0.0283542566785623,0.0198218166700108,0.0208217270571377,-0.0308076083509373,259172.142002544,268755.986875596,11902.081979626,725636.198192321,2361.69414500292,56764.9805699176
75,0.26584557884439,0.0003679194790037,0.00299000672159542,-0.117757138680798,-0.00508711368404884,0.0029439184668949,1.60749935194946,1.69258215280587,5.67790773616646,0.871034974928697,1,-0.0474434571316768,0,0,0,1.91953375213423,1.70193503029042,0.0187588372608248,0.0235698409634527,-0.0270832564312546,0.0197864849977026,0.0199139903401141,-0.030544385474519,264018.442604641,270926.445015121,11902.3735653217,790080.227744563,2918.55348145329,56968.9279925322
80,0.276254921410109,0.000243187519898793,0.00360134349173098,-0.126526963562533,-0.0129703537673271,0.00352881166660618,1.52559384735496,1.58584661712365,6.33401331553929,0.905565940596703,1,-0.0420353946607085,0,0,0,1.76500429654187,1.59036550999837,0.0190607981980735,0.023171435146204,-0.026012491076118,0.0198350318878932,0.0191099994882292,-0.0305786703362263,269868.53865314,274787.392391115,11903.4840199763,864949.804350859,3484.14022179783,57290.2853667454
85,0.287227797688914,0.00014398626185223,0.00441921040058714,-0.134394297435815,-0.021411517616955,0.00433765280043137,1.45132094495766,1.49329191370875,7.08088374522706,0.939935708458376,1,-0.0366273321897402,0,0,0,1.6360422057475,1.49548490719873,0.0193321153363201,0.0217079076109083,-0.0242510778105768,0.0199029569474486,0.0170214627052359,-0.0301861600900173,276410.15009267,279854.546784347,11905.9374758218,958369.354261121,4154.37353091378,57606.8992282727
90,0.30110019731844,1.99295193596272e-05,0.00525808294551191,-0.145532371456687,-0.0308007231960737,0.005259828595934,1.39115792416292,1.41697872828467,7.67700564889747,0.973551551770341,1,-0.033923300954256,0,0,0,1.53489903254884,1.41805403272214,0.0197151726207108,0.0211475689344883,-0.0231543919273738,0.0200832001669837,0.0158779464865676,-0.0304664352148213,284249.947472833,286387.806154591,11910.5587989275,1058278.84881133,4778.06351057241,58171.4441786172
95,0.316180233660742,-0.000124537480466483,0.00628042380306705,-0.15665967371514,-0.0410210574931793,0.0063983548255336,1.33929482080488,1.35043134277459,8.33389585178741,1.00923136702858,1,-0.0312192697187718,0,0,0,1.45174670633622,1.35096267844399,0.0201298852443104,0.0198035684660904,-0.0215578952351922,0.020290955520417,0.013835461583133,-0.0305000428849562,292988.147612234,293917.10268959,11918.4110121801,1177370.2642753,5487.63753186987,58820.0099240123
100,0.332597422642518,-0.000310856690922515,0.0074949877185643,-0.167746079362728,-0.0523598873164786,0.00775553748300442,1.29599051319689,1.2920687583022,9.04421394398726,1.04565420421289,1,-0.0285152384832876,0,0,0,1.38442689513007,1.29233383634376,0.0206003247326693,0.0175764810946033,-0.0194174247724009,0.0205239217011837,0.0108386338438501,-0.0302665797957813,302707.500498712,302367.325292952,11931.1517944218,1317869.08465053,6284.99881053509,59585.4081303026
