U,zeros_force_theta_0
0,0.305756492626418
1,0.31399698498972
2,0.322441893704066
3,0.330993086772007
4,0.339632175627462
5,0.34829889654007
6,0.357012561090807
7,0.374271018543532
8,0.381285689724577
9,0.388895952310953
10,0.395867618970453
11,0.402858155112197
12,0.409719241744585
13,0.416727539412683
14,0.423932256320654
15,0.431198737988055
16,0.438309148127436
17,0.445390297380194
18,0.452276875800984
19,0.458999796091889
20,0.465938796491561
21,0.47294358035752
22,0.479807735800611
23,0.48667433605372
24,0.493603019320021
25,0.500104038763111
26,0.506561839381777
27,0.513020130646182
28,0.519392267462927
29,0.525763924183256
30,0.532163671030636
31,0.5385299474111
32,0.544869764674692
33,0.551197147630699
34,0.557530522321947
35,0.563863696614303
36,0.570183853766855
37,0.5764633814824
38,0.582695199642183
39,0.588922357607132
40,0.595120846516008
41,0.601322605530298
42,0.607498070894848
43,0.613844393158629
44,0.619950956455
45,0.625864963921878
46,0.631925155962576
47,0.638028084978767
48,0.643976275609544
49,0.64951115627287
50,0.654871947301206
51,0.660873987465875
52,0.666425057618308
53,0.671951111020805
54,0.677521350902318
55,0.683151985354148
56,0.688760179644301
57,0.694353111232064
58,0.699928832178806
59,0.705475515877659
60,0.710997684260572
61,0.716496180014365
62,0.721965120913184
63,0.727404170552612
64,0.732815164463559
65,0.738210061558578
66,0.743593120364048
67,0.748957497964273
68,0.754286834501456
69,0.759590062609925
70,0.76487225992712
71,0.770137290743063
72,0.775375423091253
73,0.780583806848243
74,0.785770485901413
75,0.790932968817445
76,0.796065239019996
77,0.801164871557457
78,0.806241640860072
79,0.811299427306221
80,0.816590668739583
81,0.821853787994525
82,0.827088554646663
83,0.83143254380061
84,0.837091487353323
85,0.841779538590586
86,0.846443216612703
87,0.851082680289103
88,0.855799015766375
89,0.860589808475062
90,0.865356297327313
91,0.87009845317814
92,0.874814170078135
93,0.879503127181774
94,0.884194417246018
95,0.888860160992399
96,0.893500268536994
97,0.898114750666856
98,0.902703542154689
99,0.907265874304302
100,0.911802851773235
