U,delta_e,power
0,-0.261799387799149,911751.280556951
5,0.0174532925199433,899490.688412632
10,0.0174532925199433,855777.673509442
15,0.0174532925199433,787745.548790997
20,-0.066371675780066,716563.029407819
25,-0.261799387799149,656053.429194516
30,-0.261799387799149,610783.986729423
35,-0.261799387799149,579674.039480501
40,-0.261799387799149,559664.841744978
45,-0.182466239981225,549001.331769091
50,-0.117748269254265,542902.633858666
55,-0.104228113076844,540772.005212627
60,-0.0988200506058761,542314.935997815
65,-0.0988200506058761,547033.789560859
70,-0.096116019370392,554599.06591303
75,-0.096116019370392,564755.588256515
80,-0.0988200506058761,577341.09767206
85,-0.0988200506058761,592261.726892496
90,-0.10152408184136,609541.542740953
95,-0.104228113076844,629278.503942444
100,-0.106932144312329,651716.859782703
