U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
117,0.283749984672439,0.00181665279237702,0.00337527495893275,-0.129551204617129,-0.000298886156900407,0.00233141701574862,0.990643858228688,1.09414583141773,0.30872155613166,1,0,0,0,0,1.02772808596071,1.09416468105657,0.0172666393492305,0.00178232432758715,-0.0130641838206531,0.0192456561836106,-0.0068236265352371,-0.016920353655891,324950.615749777,333243.40421264,27158.5542767516,685352.574239168
118,0.285934851700709,0.00167625009776623,0.00343310224101325,-0.132325695464033,-0.000546424063386478,0.00248296377748056,0.987561534284825,1.0828737027503,0.315737955134653,1,0,0,0,0,1.02281742425325,1.08289010680555,0.0173647627292046,0.00214069467543271,-0.013294580407689,0.019202155414646,-0.00619151728925713,-0.0173058763885558,327570.622294513,335219.389516893,27537.346226109,690327.358037515
119,0.287075403876314,0.00176588468829304,0.00364891003701336,-0.133810854873737,-0.00035828329825072,0.00265082198282178,0.977342029591755,1.07694117331006,0.326262553639141,1,0,0,0,0,1.01101956159217,1.07695534043261,0.0173108211412542,0.00245827427960993,-0.0132187688378981,0.0192467920340835,-0.00641110148688586,-0.0174903309406118,329661.424899515,337659.039625486,28046.3667783887,695366.831303389
120,0.288122821336916,0.00186842530923365,0.0038723868929636,-0.135178079416361,-0.000137583656606988,0.00281727273170133,0.966832257614308,1.07140221717613,0.336787152143629,1,0,0,0,0,0.999012662407359,1.07141444704129,0.0172463799563603,0.0027651318940883,-0.0131205394459103,0.0192956850690985,-0.00669415787577326,-0.0176547865181063,331746.713815974,340147.843716024,28580.5536580688,700475.111190067
121,0.290323329567312,0.0017014931366028,0.00392000334543515,-0.137969326901803,-0.000352695224842865,0.00297863397568124,0.964787254710638,1.05987613308854,0.343803551146622,1,0,0,0,0,0.995366918139484,1.05988678676615,0.0173578647526038,0.0030868789416894,-0.0133540637703324,0.0192362649784174,-0.00600272464023503,-0.0180451356440119,334495.46482591,342147.181747882,29003.5375014464,705646.184075239
122,0.291198990216234,0.0018059572001591,0.0041388430263711,-0.139119294736092,-7.46436398539593e-05,0.00313745192812994,0.954321815358486,1.05450064663839,0.35432814965111,1,0,0,0,0,0.983543687418716,1.05450984211726,0.0172859616963827,0.00333109920794726,-0.0132218375425226,0.0192809082228514,-0.00635728562242782,-0.0181660731633659,336616.421601363,344680.703715696,29584.3846742636,710881.509991323
123,0.291912540487218,0.00193637031166344,0.0043641480724388,-0.140064631855307,0.000242203241416439,0.00328327526113964,0.94316209407188,1.04979785722814,0.364852748155599,1,0,0,0,0,0.971103263746203,1.04980578694123,0.0171945748739597,0.00355709825359052,-0.0130568278215972,0.0193351265208827,-0.00682308270131936,-0.0182467661816073,338701.669066593,347287.690077087,30196.3944264272,716185.753570107
124,0.294032516217236,0.00174542858857007,0.00439097272272351,-0.142752242639318,7.15919186717622e-05,0.00344118664935733,0.94197724690137,1.03798455047332,0.371869147158591,1,0,0,0,0,0.968514985230103,1.03799146390647,0.0173158514659266,0.00380183309311505,-0.0132808241223088,0.0192580825503897,-0.00610441699163539,-0.0186132738702918,341566.293324912,349308.482232351,30673.590062606,721548.365619868
125,0.294492110809837,0.00189499680386284,0.00462334679122707,-0.143376013638093,0.000459159516770111,0.00357759480283037,0.930340933657391,1.03382358232921,0.382393745663079,1,0,0,0,0,0.955726565490095,1.03382953971965,0.0172055193507394,0.00396737409717427,-0.0130614415290698,0.0193155006926723,-0.0067067316003252,-0.0186365298486945,343647.963445499,351993.094002746,31341.5073443808,726982.564792626
126,0.296572636391389,0.00169736782354864,0.00464611716998857,-0.146011794195312,0.000314724827992466,0.00373806581287872,0.929478312049137,1.02207821085108,0.389410144666071,1,0,0,0,0,0.953586117040248,1.02208340636186,0.0173292226427678,0.00418574068387828,-0.01327870722888,0.0192317963765334,-0.00597788017953974,-0.0189966835967948,346572.40774478,354051.270605997,31857.2238479413,732480.902198719
127,0.296737019079025,0.00187752505069355,0.00489987011982045,-0.146261070999718,0.000782606826819444,0.00387043823689702,0.917040337615077,1.01872117221297,0.39993474317056,1,0,0,0,0,0.94011777087688,1.01872564424164,0.0171925928333659,0.00430262751093956,-0.0129902165869119,0.0192979929241074,-0.00675888035239126,-0.0189611807547696,348625.985519459,356836.389542229,32586.8600464012,738049.23510809
128,0.298763559162658,0.00167222153284162,0.00492395737346596,-0.148826295854415,0.000670713839417037,0.00403976288479092,0.91651298849158,1.00699880286239,0.406951142173552,1,0,0,0,0,0.938425432388649,1.0070027042763,0.0173190130632358,0.00449186412592124,-0.0131942946465225,0.0192067674015758,-0.00602487305689524,-0.0193170775365793,351611.234670821,358928.535354767,33144.9419981441,743684.712023732
129,0.298583622272295,0.00189858532496084,0.00521571856114635,-0.148638176163202,0.00122858998466798,0.00417207869772083,0.902839904191553,1.00480900763184,0.417475740678041,1,0,0,0,0,0.923838648239173,1.00481236025826,0.0171460547693046,0.00457795147211048,-0.0128201380148077,0.0192896875876076,-0.00703961154750178,-0.0192198781411667,353604.099359638,361845.832403974,33942.5989130527,749392.530676665
130,0.300528868916719,0.00168405450684664,0.005246269522862,-0.151098099999022,0.00115926659552291,0.00435664427476159,0.902666769446776,0.993040542789322,0.424492139681033,1,0,0,0,0,0.922601189135437,0.993043468688959,0.0172754466340803,0.00472910865981233,-0.0130016768524776,0.0191894690555495,-0.00631010328642819,-0.0195706766984612,356651.291872852,363966.297323354,34547.750727801,755165.339924008
