U,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
8.07473234542661,0.0885136175258479,1,-0.0298276131107945,0.0637290271472581,-0.000193509981492979,0.00532385981617581,0.290352231625718,0.00531492049401002,0.000963817396620356,-0.0127489830979331,0.057755916943122,0.000522575211032076,5.4590113836247,9.1739944935593,16.4689747639,12.3405298084358,0.0133344386076117,-0.00650334147132449,-0.0146693923123213,0.0268444503395736,-0.00885781132966907,-0.0150376997955421,279417.024427459,614014.539826917,13241.8454657674,906673.409720143
134.646981356054,0.181310930892448,0,0.0821999248730489,-0.0252594269407063,-0.00459681194830515,0.0514915746378949,1.41510755411268,0.00916781726811951,-0.00827474198457963,-1.46648334851613,-0.343568108691007,-0.0143632242826565,2.94325543717518,2.7002062852116,3.01084152780206,2.7002263924079,0.0661410786109385,0.341237053232701,-0.245019269082708,0.0730786953313051,0.328289568740317,-0.235444052561599,682682.671279305,691174.530136658,27756.4320454697,1400648.14211289
140.730060870639,0.389824641152216,0,-0.257277892518853,-0.0637386407063193,-0.0165020804099974,0.0688153568260869,1.76477916632908,0.0220917936683557,-0.0276241085439944,-1.99374379469112,-0.344986969234033,-0.0366612951409312,3.40989822431723,2.93622594636823,3.46825036209951,2.93623662976406,0.0723884453353978,0.530346736543016,-0.350978338414092,0.0854125123923896,0.515307487421839,-0.329374277609484,803296.810026982,818902.11561404,34544.7840107287,1650353.37986749
91.5138369411683,0.127920865247563,1,-0.389361748493189,0.379281790939781,-0.00199195593222013,0.0430405385696409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.0291247683862,0.427504781187631,0,-0.368064885754816,-0.0457094153051935,-0.0157832288410165,0.0579825685653165,0.524469986957066,0.0166942157817446,0.000750960624029383,-0.436767015254032,-0.132991182820532,-0.0188034643504002,2.6305879264555,2.2178021715268,2.91730333319069,2.22241593823661,0.0317475261206836,0.131183199979321,-0.0901530281056803,0.0412094938453463,0.129227313795637,-0.0938120814603661,372206.071602712,387906.3739319,31561.3244772438,778031.232698725
5.70023030939413,0.599569391827459,1,0.38174676281422,0.013994733578521,-0.0090441286644198,0.0204176252451334,0.289403477476474,0.00650697531582401,0.0169005313825878,-0.0114314796755561,0.23648605922068,0.0144746603727942,5.36493559584399,9.90771938741221,17.7551642097224,13.15796040277,0.011868235921339,0.00223890678035105,0.00945485088415892,0.0271111382582418,-0.00221705660343965,-0.0219843894676842,261557.135537954,656633.679121496,318198.553305641,1236389.36796509
113.846124201311,0.624135665876213,0,0.220660093336608,-0.408356258909049,0.00338751756025049,0.0338188679499558,0.854737354317086,0.113330008778727,-0.0419488488763315,-0.74780415899499,-0.425746096870134,-0.135195711035816,4.81075899026349,0.473784411621457,4.83984947830817,0.47446608972189,-0.00823539733215618,0.292180718061681,-0.207431588075712,0.104773558775144,0.0248774359305979,-0.0810014093599159,441516.70493277,371203.281383139,94020.8077054018,835303.623890462
109.607702598239,0.164101827751874,0,-0.042792428277926,0.146685684137442,-0.0128442683128927,0.035564590472898,0.937204709333212,-0.0417697311325353,0.0129821590996298,-0.880865039032669,-0.135813546118225,0.129103419139056,1.63926343975588,3.68192562608705,1.82510152666878,3.68204541683704,0.0790353162890507,0.138388267610204,-0.121073606250926,0.0304922135211177,0.272069156346147,-0.18071283800567,507654.442453495,460966.181880928,22650.1292999184,990433.35812306
97.8299398422216,0.519618376590766,0,-0.0852038508112562,0.402366093256887,0.00700154572499861,0.018996605638564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113.974772357938,0.182794031741415,0,-0.431002249354711,-0.131202186184588,-0.00220146125260805,0.0238995458552909,0.88887174191364,0.0463866253307935,-0.0112175674576301,-0.9180102279973,-0.213568274934819,-0.0801214344894976,3.5673515214033,1.65801277648157,3.63998471585057,1.65817431195573,0.0296331054427995,0.296481998943304,-0.204443828269009,0.0757618484926683,0.179679772992036,-0.155893272817388,464692.013994408,514445.445045919,23755.7026845295,1001744.95303925
