U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
0,0.301947438520531,-0.00839640855377456,0.000136302058763972,0.00837124413478411,0.0454687029345434,-0.000980561284602931,5.211531215861,10.0953128997239,18.8402036304883,13.5349235021922,0.0171309280683981,-0.00578537736932978,0.00393659511295969,0.0233566391378982,-0.0059104693506937,0.00374616129437076,307587.017191998,592403.966105644,12033.8254085925,912024.808706234
0.099403578528827,0.301902972770597,-0.00837679637676801,0.000130344413898635,0.00809290596622543,0.045604971357732,-0.000975975569607859,5.21596319635497,10.0936766347557,18.8287280406043,13.533407086837,0.0171347930829721,-0.00581090386107648,0.00368436765904763,0.0233516322772552,-0.00593302150684778,0.00349997336065888,307777.912809517,592238.022671377,12033.833451485,912049.768932379
0.198807157057654,0.301855691953164,-0.00835666942776748,0.000124412496722155,0.00781481351997117,0.0457397973542281,-0.000971397611637905,5.22040619955566,10.0917956153082,18.8167323130792,13.5315206821242,0.017138611120022,-0.00583653327206695,0.00343225301273566,0.023346602423776,-0.00595569994161366,0.00325388885374123,307969.467898812,592061.559624622,12033.8575801626,912064.885103596
0.298210735586481,0.30180560785272,-0.00833603221567319,0.000118511333857237,0.00753697718313553,0.0458731613686043,-0.000966824608101087,5.22485927315389,10.0896689395886,18.8042185534271,13.5292650533767,0.0171423823622629,-0.0058622616368139,0.00318026347071659,0.0233415496053006,-0.00597850241166331,0.00300792049494778,308161.651670589,591874.541768073,12033.8977946253,912070.091233287
0.397614314115308,0.301752732424312,-0.00831488928947457,0.000112645932717642,0.00725940734900449,0.0460050438905658,-0.000962253775612551,5.22932143316509,10.087295726753,18.791188895835,13.5266409758145,0.0171461069885822,-0.00588808499728042,0.00292841139146484,0.0233364738612099,-0.00600142666217988,0.00276208106037304,308354.432202789,591676.935033306,12033.954094873,912065.321330968
0.497017892644135,0.301697077795181,-0.00829324523667687,0.000106821280415483,0.0069821144186126,0.0461354254556446,-0.000957682350557924,5.23379166413598,10.0846751171521,18.7776455029568,13.5236492353078,0.0171497851746559,-0.00591399940317338,0.00267670919812723,0.0233313752419426,-0.0060244704271361,0.00251638338361997,308547.776451804,591468.706480367,12034.0264809058,912050.509413077
0.596421471172962,0.301638656268557,-0.00827110467737053,0.000101042342710998,0.00670510880245632,0.0462642866460877,-0.000953107590146583,5.23826891861338,10.0818062733611,18.7635905660092,13.5202906294306,0.0171534170920578,-0.00594000091231198,0.00242516938147924,0.0233262538101957,-0.00604763142976021,0.00227084035853956,308741.650224791,591249.82436395,12034.1149527237,912025.589541464
0.695825049701789,0.301577480316694,-0.00824847228040661,9.5314062614677e-05,0.0064284009212855,0.0463916080911632,-0.000948526771058187,5.24275212044379,10.0786883772352,18.74902630335,13.5165659670537,0.0171570029150586,-0.00596608559062885,0.00217380450223073,0.0233211096335114,-0.00607090738208073,0.00202546494166383,308936.018352918,591020.257860222,12034.2195103266,911990.495723466
0.795228628230616,0.301513562595787,-0.0082253527349082,8.96413596143869e-05,0.00615200120864325,0.0465173704686879,-0.000943937192890182,5.24724016037209,10.0753206350107,18.7339549621411,13.5124760709259,0.0171605428119141,-0.0059922495129378,0.00192262719447934,0.0233159427942504,-0.00609429598633344,0.00178027015509024,309130.84446031,590779.977479455,12034.3401537146,911945.16209348
0.894632206759443,0.301446915938959,-0.00820175076667894,8.40291282309892e-05,0.00587592011156355,0.0466415545055595,-0.000939336176892696,5.25173189940894,10.0717022743245,18.7183788169179,13.508021777274,0.0171640369517628,-0.00601848876292747,0.00167165016789406,0.0233107533820687,-0.00611779493451691,0.00153526908879495,309326.091140532,590528.954789043,12034.4768828877,911889.522812462
0.99403578528827,0.30137755336034,-0.00817767113207171,7.84822368715548e-05,0.00560016809213253,0.0467641409788213,-0.000934721067038472,5.25622616831653,10.0678325453006,18.7023001697241,13.5032039369172,0.0171674855036941,-0.00604479943355635,0.00142088621044654,0.0233055414951728,-0.0061414019088796,0.00129047490314107,309521.719929225,590267.162482999,12034.6296978459,911823.512110069
1.0934393638171,0.301305488056984,-0.00815311861637419,7.30055265930075e-05,0.00532475562882385,0.0468851107167079,-0.000930089230648349,5.26072176788747,10.0637107208299,18.685721349943,13.4980234160925,0.0171708886373903,-0.00607117762737208,0.00117034819095721,0.0233003072398101,-0.00616511458222795,0.00104590083127115,309717.691318195,589994.574382212,12034.7985985891,911747.064298996
1.19284294234592,0.301230733411152,-0.00812809803153437,6.76038098515461e-05,0.00504969321781337,0.0470044445998228,-0.000925438059140345,5.26521746912243,10.0593360969749,18.6686447141812,13.4924810973356,0.0171742465235445,-0.00609761945684188,0.000920049061593219,0.0232950507300114,-0.00618893061827266,0.000801560181440496,309913.964764008,589711.165444984,12034.9835851174,911660.113794109
1.29224652087475,0.301153302990886,-0.00810261421762974,6.22818691592166e-05,0.00477499137410682,0.0471221235620107,-0.000920764968163679,5.26971201406459,10.0547079927144,18.6510726459153,13.4865778801242,0.0171775593355744,-0.006124121044655,0.000670001860200494,0.0232897720858909,-0.00621284767179793,0.000557466339238563,310110.498730945,589416.911721044,12035.1846574307,911562.59510942
