U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,theta_1c_diff,theta_1s_diff,delta_e,delta_r,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
82,0.21917276296413,-0.0760004425446193,0.000391707693872211,0.0168135055219661,-0.00441232334601033,0.0377168235522681,3.32419071345678,0.716668349838373,0.457382255459489,1,0.436332312998582,-0.102445053503021,-0.0174532925199433,0.0359773375938161,3.42443090512147,0.724275749368282,0.0433985767437487,-0.0885812460948232,0.0315630864089175,-0.0118090889844764,-0.021879074788985,0.0318164342725364,511246.171059614,225983.777826754,35441.1375811674,772671.086467534
83,-0.232959348017353,-0.0242361778487057,0.103008872758421,0.413989349701293,0.0516011071081203,-0.433762586699581,0.325207100742072,1.40758532364597,0,1,-0.396490419140914,-0.477956049669328,0.000906824345473332,0.0785398163397448,0.498803734380959,1.40807175574899,-0.00373569122935631,-0.0746957820958123,0.147322022255068,0.00708311297769319,-0.290197426244168,0.0439725151615229,217085.494639779,273099.155100664,17809.3883242042,507994.038064647
84,0.226882228944055,-0.0884370729138538,0.00222906542097263,0.00388385883719029,-0.0190556560708717,0.022847378367615,3.53736499540112,1.00423027680726,0.435792384501144,1,0.436332312998582,-0.112635143951427,-0.000501968406256837,0.0462009516803801,3.66704052778844,1.01041017539899,0.0475924823481515,-0.0933529019845066,0.0154268206715458,-0.0160148269166785,-0.0223745566955836,0.0142686541820554,562703.774665802,243574.107812337,32434.9868546976,838712.869332837
85,-0.263604962917628,-0.0263832542425433,0.106344637685866,0.443311373162583,0.0467103878066958,-0.457232941082476,0.326491927216285,1.35474105675246,0.006662155700366,1,-0.436332312998582,-0.46389687582461,0.00469612319294081,0.0785398163397448,0.479776618980073,1.35510604383442,-0.00403353161327744,-0.0833350911013601,0.151923298769115,0.00535167894306303,-0.299282305868183,0.0420834732555811,220832.425855338,274059.993366122,18037.1293008814,512929.548522342
86,0.231848140853406,-0.0730124038545925,-0.00431422765865552,0.00242285767194554,-0.0261410610082457,0.0264222218147907,3.24155998484268,0.736766511027946,0.445420951546679,1,0.430098699805004,-0.114372839165361,-0.0152002538441869,0.0274529188510957,3.32956495918327,0.741118463366047,0.0444341340064242,-0.096644731552262,0.0278382743371804,-0.0123598625455168,-0.00792157318459153,0.0270106006365601,517727.275218262,234735.339533043,33532.3063283395,785994.921079645
87,0.236422311943727,-0.0794140402001594,-0.00327679000637161,-0.0029168685894631,-0.0346142118124077,0.0202391195647356,3.33194782485369,0.85811899279694,0.430247800272154,1,0.434605866729429,-0.130327174418962,-0.0107545149122855,0.033810043889504,3.43054120858571,0.862041827804732,0.0463544703736438,-0.0972324161973471,0.0231129243624079,-0.014213260543087,-0.00845037578970786,0.0223269686969644,540146.617690294,242318.037157876,31766.9371721051,814231.592020275
88,0.22597471891823,-0.065923520803023,-0.00348105607617475,0.0119804290105186,-0.0199664824219777,0.032808957940156,2.95111952905557,0.516514025061518,0.455110066628436,1,0.436332312998582,-0.0825755328548352,-0.0162615105682143,0.0255092133492796,3.00802493550774,0.519529063061951,0.0411255310226665,-0.0973645866264473,0.0325189746867491,-0.00948422813889823,-0.0167356111813978,0.0316289975207584,476042.802895691,230854.782936761,34761.631870346,741659.217702797
89,0.254990624658463,-0.121074486629901,0.00494819558750219,-0.0250686163499998,-0.0736309004305296,-0.0127466957510493,3.98131546248751,1.55943493816675,0.268154963347935,1,0.436332312998582,-0.258319730038756,0.000237963280987071,0.0785398163397448,4.14809888479371,1.56311445742367,0.057515778080389,-0.0883161049316063,0.00673137597787579,-0.0248327518533859,-0.0136576172742062,0.00881496884271211,690633.906438041,296175.864849828,22275.4718180069,1009085.24310588
90,0.231184787984781,-0.074204463335045,-0.000393413329087393,0.00803068816104408,-0.0280027550598441,0.0297947910369382,2.96189456171406,0.573742225084503,0.428325670999666,1,0.436332312998582,-0.106608577672027,-0.0174532925199433,0.0386143074755546,3.02031945525247,0.576061463924266,0.0423952088201003,-0.0914480997354256,0.0323326643770884,-0.010541720132578,-0.0218572640211387,0.0329288856795759,487564.723326356,236717.385125079,31565.0232144864,755847.131665922
91,0.226313469774168,-0.0718411842197288,0.000299816789671886,0.0145289277092253,-0.0206536261726026,0.0350183822468689,2.84845547253564,0.497722887792303,0.45066650645473,1,0.436332312998582,-0.0877417633674686,-0.0174532925199433,0.0384108858645694,2.89709176113882,0.499663204336873,0.0410748403481503,-0.0927008402582278,0.0346007664224047,-0.00956661147566663,-0.0269106087425574,0.0348202609322361,472554.162788409,236339.211825062,34080.3324293976,742973.707042868
92,0.306545379073171,-0.145898386245692,-0.00566108447569356,-0.241538152916136,-0.113481121660161,-0.194865585721437,5.63941411952214,3.00589727760429,0.514643487164122,1,-0.436332312998582,-0.293751584203465,0.0171260467533333,0.0392153065098488,5.92025401827304,3.0091982818207,0.0843025666788867,-0.0426911860204639,-0.0651703957639349,-0.0453141465695051,0.187016914629719,-0.101995709483711,1188731.00773662,502867.774003581,48386.241925851,1739985.02366605
93,0.220788319253457,-0.0645293336128924,-0.00244990650701961,0.0217290733027734,-0.0112299005138582,0.0419594568046539,2.70657096920535,0.423468825348624,0.49135575521965,1,0.435696908169515,-0.0571935044654731,-0.0165701562336548,0.028740056733276,2.74471579200032,0.424869071952375,0.0396043756778658,-0.102200383624441,0.0369794570686694,-0.00860959516548841,-0.0257330020386011,0.0358859845381027,457605.94489714,238377.813816237,41295.8307577218,737279.589471099
94,0.231547691959102,-0.052249628213766,-0.00527439751561097,0.00927118098393834,-0.035694020357377,0.0270662054797824,2.49389149736145,0.20938689303499,0.42283925981028,1,0.436332312998582,-0.0623021668264662,-0.0174532925199433,0.0159398078818285,2.51208333700844,0.210528865624509,0.0368119946995827,-0.0995495523158982,0.0358334356575198,-0.00507775532828387,-0.0181167121670769,0.0344655486374598,427720.011593195,236265.018870995,31118.7939944911,695103.824458682
