U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,theta_1c_diff,theta_1s_diff,delta_e,delta_r,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
10,0.271600345910513,-0.00661319902859946,0.000126987492972194,-0.0155364758218873,0.0577181691748386,-0.000196750528634276,5.46589477169329,8.68563086549312,0,0,0,0,0,0,15.5598560968691,11.7762658067481,0.016409389181471,-0.00736004901653049,-0.0197898628787173,0.0214606332688893,-0.00700848100083314,-0.0193486571377947,321629.21864239,522217.807068565,13367.4587514589,855962.248087434
11,0.269054277026929,-0.00610483735018139,0.000247589073314117,-0.0172665418355523,0.0579856648079023,-7.24241965638363e-05,5.43517467677518,8.42643785316282,0,0,0,0,0,0,15.0658702734414,11.4665950188326,0.0163979571960483,-0.00751871679847931,-0.0214409715985167,0.0213741744482876,-0.00718528657090318,-0.0209499517389217,321321.972553637,510210.344983053,13290.6571042864,843664.633276424
12,0.266432421225998,-0.00559855738685179,0.000382158005612388,-0.0188698268617196,0.0580656541328776,5.49607343218323e-05,5.38894480162272,8.1575514201857,0,0,0,0,0,0,14.5573317390665,11.1419057894306,0.0163850601604091,-0.00765584362500537,-0.0229146441670909,0.0212858882268297,-0.0073524453108715,-0.0223771228666722,320513.678360959,497847.095790407,13227.4553588834,830511.811193715
13,0.263756623088091,-0.00509950880372519,0.000525926268739254,-0.0203407919820187,0.0579639180996286,0.000182315812221843,5.32720766373927,7.8830216393295,0,0,0,0,0,0,14.0384426555303,10.8044395426406,0.0163705945282073,-0.0077713268797501,-0.024200209858734,0.0211967329405006,-0.007509613479167,-0.0236202771936463,319193.983832124,485318.871193536,13175.9068051381,816684.24130998
14,0.261048673466739,-0.00461238409448742,0.000674041699172029,-0.0216759765053907,0.0576900918603036,0.000306611160872959,5.25054722929131,7.60661978346164,0,0,0,0,0,0,13.5134602726089,10.4565404277125,0.0163543168025895,-0.00786560487223552,-0.0252904601289141,0.0211078013526711,-0.00765687795934646,-0.0246728909020711,317371.018851769,472803.274278595,13134.4151146831,802367.656596012
15,0.258329678180383,-0.00414126251422203,0.000822014214150381,-0.0228742073300502,0.0572571390589878,0.000425137573784083,5.16007437108999,7.33174640094239,0,0,0,0,0,0,12.9865778063541,10.1005740968939,0.0163358144611626,-0.00793961241872368,-0.0261820992384401,0.0210203243690287,-0.00779475776982423,-0.0255322009969623,315069.933190886,460460.659754524,13101.6742603694,787747.561531746
16,0.255619407835821,-0.00368944447167316,0.00096610489781924,-0.0239366649237586,0.0566806038097092,0.000535730024502285,5.0573225359367,7.06136748480275,0,0,0,0,0,0,12.4617892390063,9.73884240494036,0.0163144900304277,-0.00799468919262157,-0.0268759240546255,0.0209356620900998,-0.00792417696948471,-0.0261993398851021,312329.898012405,448431.2435852,13076.614439751,773003.343243985
17,0.252937471560393,-0.00325891457393996,0.00110330100926515,-0.0248671440766659,0.055978248455688,0.000636722660184209,4.94423191429307,6.79776085625884,0,0,0,0,0,0,11.9428260395985,9.37398341755703,0.0162900143266021,-0.00803256913823972,-0.0273770739565073,0.0208548871771542,-0.00804642655948611,-0.0266795899682371,309208.529356295,436817.941345232,13058.356473684,758295.533347309
18,0.250306893102632,-0.00284980780273463,0.00123057436448411,-0.0256728667081787,0.0551704585238604,0.000726447210048573,4.8232561079862,6.5421318596924,0,0,0,0,0,0,11.4332747988861,9.00994159681587,0.0162633959550665,-0.00805561561649836,-0.0276958061180102,0.0207778303711118,-0.00816308962822594,-0.0269832454649224,305795.413232187,425657.408692109,13046.1745993689,743750.373508839
19,0.247749159001141,-0.00246199790938129,0.00134540858258152,-0.0263635579593906,0.0542780725007126,0.000803578615335123,4.69688772880113,6.29532493343576,0,0,0,0,0,0,10.9363813930726,8.65059235141348,0.0162358912879672,-0.00806653347267178,-0.0278463594567369,0.020704004350717,-0.00827584041779809,-0.0271244485365965,302184.495249621,414968.09226775,13039.4665572666,729480.255980032
