U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
31,0.231369837809682,0.000132291444367227,0.0016353924779301,-0.0319311124328524,0.0230935814119114,0.000869329595638553,3.36942040752588,4.09886578465526,0,0,0,0,0,0,6.57066521525852,5.41243909021489,0.0165784370946783,-0.00753978065771979,-0.0231488789681688,0.0201371527249519,-0.00883105351551339,-0.0225770571897345,268794.989253384,324410.108456762,12816.0502699746,606021.14798012
32,0.230876015351485,0.000220411654622323,0.00162003102424707,-0.0324720896114183,0.0209976379009156,0.000850065333872914,3.28309876945862,3.97495700044305,0,0,0,0,0,0,6.33925826281152,5.23157405278454,0.0166159856368659,-0.00745069695503908,-0.0226866848132158,0.0201087785997465,-0.00880921893583488,-0.0221313344776725,266789.946032961,319690.25673996,12867.3303597427,599347.533132664
33,0.230504778797172,0.000295607830922707,0.00160492704558867,-0.0330588138125658,0.0188898908950611,0.000832097854047728,3.20068105198102,3.8583127637659,0,0,0,0,0,0,6.1224408330674,5.05981654719406,0.0166546803971075,-0.00734790845017572,-0.0222436172800965,0.0200857328367761,-0.00877008444951332,-0.0217036658146113,264919.936529035,315337.683917194,12920.2383888684,593177.858835097
34,0.230246314333749,0.000359571938609134,0.00159002468561896,-0.0336923528950372,0.0167674138306941,0.000815448776667697,3.12213394487392,3.74837652618448,0,0,0,0,0,0,5.91798241570022,4.895796663636,0.0166949607465493,-0.00723030476622416,-0.0218191469071506,0.0200674752974824,-0.008712487653835,-0.0212935450859903,263189.599731724,311322.508447718,12974.7743573519,587486.882536793
35,0.23009183096928,0.000413689005308047,0.00157515823106952,-0.0343731672711263,0.0146270637470192,0.000800052299919613,3.0473950630418,3.64463131316463,0,0,0,0,0,0,5.72385026859424,4.73824475625756,0.016737301542075,-0.00709705053503112,-0.0214121198986288,0.0200535036084997,-0.00863545458467029,-0.0208998716106129,261602.167662648,307617.409900982,13030.938265193,582250.515828823
36,0.230033525330172,0.000459085815292191,0.00156008384355358,-0.0351011699336938,0.012465429829394,0.000785776359747297,2.97638334787251,3.54660124011967,0,0,0,0,0,0,5.53819548819541,4.58598858417645,0.0167822097061324,-0.00694762665453191,-0.0210208917748308,0.0200433619827183,-0.00853824606762226,-0.0205210771838783,260159.850983055,304197.641545022,13088.7301123919,577446.22264047
37,0.23006454298985,0.00049667419519243,0.00154450619752429,-0.035875757444065,0.010278757194005,0.000772438706938393,2.90900659557061,3.45385185579041,0,0,0,0,0,0,5.35933875311521,4.43794837708925,0.01683022141296,-0.00678187467018956,-0.0206434221340342,0.0200366508921278,-0.00842041060117326,-0.0201552160271104,258864.132623964,301041.006117767,13148.1498989485,573053.288640679
38,0.230179004378638,0.000527184738199264,0.00152810255340768,-0.0366958425154658,0.00806286223995027,0.000759820442254251,2.8451666473344,3.36598978696314,0,0,0,0,0,0,5.18576662802942,4.29313890268643,0.0168819004849925,-0.0066000532510812,-0.0202773682982316,0.0200330395652791,-0.00828185033801102,-0.0198000540515536,257715.981721887,298127.820111543,13209.1976248629,569052.999458293
39,0.230375978663643,0.000550931754081859,0.00151064848404455,-0.0375617713151558,0.00581409926649624,0.000747773787393632,2.784745371901,3.28266439439198,0,0,0,0,0,0,5.01677212967526,4.15119138140936,0.0169378416727704,-0.00640323680127423,-0.01992223067432,0.0200323943464766,-0.0081231295867294,-0.0194551436327837,256715.009385112,295441.341559307,13271.8732901349,565428.224234554
40,0.230661503643504,0.000567753744002721,0.00149209171261676,-0.0384764533638668,0.00352974748276638,0.000736284328655425,2.72760253834485,3.20356900346052,0,0,0,0,0,0,4.85276201531023,4.01261616454636,0.0169986692088074,-0.00619356273618963,-0.01958054230155,0.0200348493356908,-0.0079457004949988,-0.0191229755570042,255859.261411854,292967.94468738,13336.1768947647,562163.382993998
41,0.231042251430737,0.000577501136508452,0.00147239332225291,-0.0394423614151662,0.00120607237326555,0.000725318218321576,2.67360928974912,3.12843587627103,0,0,0,0,0,0,4.69420063929469,3.8779610046694,0.017065033193208,-0.00597378398247961,-0.0192545711614921,0.0200406332698643,-0.00775165025751138,-0.0188057897227434,255147.104893072,290696.267253172,13402.1084387521,559245.480584996
42,0.231524883158192,0.000580089786927261,0.00145151549909489,-0.0404610489557367,-0.00116186665530861,0.000714801187172402,2.62264866562215,3.0570312435069,0,0,0,0,0,0,4.54151100831192,3.74773336339128,0.0171376001858881,-0.00574734747937053,-0.0189459243458482,0.0200500487649425,-0.00754381356416496,-0.0185051927990856,254577.282382735,288616.862975118,13469.6679220973,556663.81327995
43,0.23211492612001,0.00057554085467415,0.0014294268442575,-0.0415322855088633,-0.00357863002612422,0.000704598625177848,2.57459398466978,2.98913257662355,0,0,0,0,0,0,4.39504671522229,3.62238120828885,0.0172168864756062,-0.00551867630059806,-0.0186552544361651,0.0200633183395375,-0.00732609950158528,-0.0182218780814835,254147.360677153,286720.349930106,13538.8553448002,554406.56595206
44,0.232817125865457,0.00056397994652589,0.00140609201117722,-0.042655073850986,-0.00604833053612145,0.000694548837934458,2.52931327503641,2.92453094316856,0,0,0,0,0,0,4.25510607654412,3.5023064062869,0.0173032879066963,-0.0052924884529949,-0.0183827144728184,0.0200806164861684,-0.0071028107797551,-0.0179560607832023,253854.092540035,284997.714245273,13609.6707068608,552461.47749217
45,0.23363630004827,0.000545653806927257,0.0013814254498454,-0.043832359593176,-0.0085723487994641,0.000684597101677232,2.48667386475753,2.86303559330647,0,0,0,0,0,0,4.12194603874793,3.3878789272525,0.0173971191556343,-0.00507053473669523,-0.0181299894293905,0.0201021251778621,-0.00687536428224864,-0.0177094293429302,253693.769921356,283440.770406452,13682.1140082791,550816.654336087
46,0.234577225995098,0.000520907099631571,0.00135531555729059,-0.0450688033942366,-0.0111510042820876,0.0006747109697556,2.44654366808467,2.8044705904565,0,0,0,0,0,0,3.99578741247922,3.27944160661249,0.0174986236334959,-0.00485320818263315,-0.0178993165079816,0.0201280237384954,-0.00664391179489926,-0.0174842056675427,253662.364571664,282041.969359314,13756.1852490552,549460.519180033
47,0.235644593888646,0.000490169305677686,0.00132763601895845,-0.0463697613155007,-0.0137843150212661,0.000664842505570513,2.40879157669453,2.74867211442005,0,0,0,0,0,0,3.87681905125137,3.1773144566429,0.0176079765499381,-0.00464027912872577,-0.0176930453063312,0.0201584797470608,-0.00640808089082107,-0.0172827234262921,253755.585250437,280794.239299903,13831.8844291889,548381.708979529
48,0.236842894898768,0.000453958176763319,0.00129824654281834,-0.0477413806602383,-0.0164715506551672,0.000654927561244903,2.37328578753124,2.69548557035699,0,0,0,0,0,0,3.76519927193844,3.08179750748756,0.0177252689634812,-0.00443078654001996,-0.0175137054503668,0.0201936331659337,-0.00616687649449671,-0.0171074945429545,253968.763863372,279690.789452105,13909.2115486804,547568.764864157
49,0.238175441974575,0.000412929325285099,0.00126700219486061,-0.0491902377335939,-0.01920875280323,0.000644880461786809,2.33988689254668,2.64476167455258,0,0,0,0,0,0,3.66105087746774,2.9931710183654,0.0178504312258369,-0.00422303177388256,-0.0173639942163929,0.020233553858292,-0.00591873965467373,-0.0169612010618423,254296.321047731,278724.804938498,13988.1666075296,547009.292593759
50,0.239644217834442,0.000367860336812978,0.00123375327753517,-0.0507234266202282,-0.0219885004722781,0.000634595582170221,2.30844717316004,2.59635279938433,0,0,0,0,0,0,3.56446272434703,2.91169691160916,0.0179832186426022,-0.00401443988830694,-0.0172468524289679,0.0202782136116932,-0.00566140294188779,-0.016846769585573,254731.701787106,277889.176780891,14068.7496057365,546689.628173733
51,0.241250079167829,0.00031961179324447,0.00119834337409413,-0.0523487489882131,-0.0248005506392497,0.000623949171189858,2.27881272136585,2.55011070665626,0,0,0,0,0,0,3.47549476991604,2.83762127849668,0.0181232270113755,-0.00380144779062121,-0.017165537572974,0.0203274724127181,-0.00539174438542364,-0.0167674425539903,255267.52482088,277176.34734122,14150.9605433011,546594.832705402
52,0.242992744623463,0.000269102235225027,0.00116061181478505,-0.0540746563792248,-0.0276319781823683,0.000612797301595879,2.25082477703416,2.5058853206088,0,0,0,0,0,0,3.39418243332561,2.77117677981675,0.0182698988729072,-0.00357952746856552,-0.0171236204134228,0.0203810670102337,-0.00510579081398293,-0.0167267767736798,255895.667062332,276578.232365877,14234.7994202235,546708.698848432
53,0.244870902976954,0.000217278378471295,0.00112039712102663,-0.0559101081300648,-0.0304676555873026,0.000600972068132009,2.22432242832612,2.46352492893917,0,0,0,0,0,0,3.32054257949738,2.71258574140271,0.0184225450292316,-0.00334331338866458,-0.0171249297490189,0.0204386125574374,-0.00479881831996639,-0.0167285917408505,256607.456210725,276086.261339453,14320.2662365035,547013.983786682
54,0.246807385073609,0.000168982274726447,0.00108332071456444,-0.0578195630677432,-0.033315038151521,0.000591068219527164,2.19870296443557,2.42353534840231,0,0,0,0,0,0,3.24429506495926,2.64984508155591,0.0185747851464773,-0.00307583163212054,-0.0171306175109933,0.0205036006640919,-0.00446467534112677,-0.0167341813275897,257356.922538411,275745.306895809,14407.3609921413,547509.590426361
55,0.248785417183171,0.0001244467571527,0.00104835535945769,-0.0598037532612523,-0.0361606903696038,0.000582590539147784,2.17396191837898,2.38563922699731,0,0,0,0,0,0,3.1631770788055,2.58133355174617,0.0187265879049731,-0.00276945196133593,-0.0171372844491345,0.0205743451203786,-0.0040951590546797,-0.0167403662721082,258145.859862063,275535.43818331,14496.0836871368,548177.381732509
56,0.250873969798282,8.0452210222916e-05,0.00100999764166558,-0.0619149126576805,-0.0389701864208395,0.000572867389061894,2.1504198562985,2.34910668585116,0,0,0,0,0,0,3.08663374205823,2.51841725203225,0.0188828177366659,-0.00242705809076934,-0.0171888305243382,0.0206468441175507,-0.00368407476844173,-0.0167908861768534,259004.351939903,275400.175381321,14586.43432149,548990.961642713
57,0.253072269782056,3.77918458441499e-05,0.000969029378485304,-0.0641615223290072,-0.0417385713466193,0.000562184220241057,2.12794141330603,2.31395991925454,0,0,0,0,0,0,3.01433638086449,2.46051407067257,0.0190427321860612,-0.00204194049565299,-0.017286966245389,0.020721892975122,-0.00322637722605082,-0.0168873809572216,259924.47844844,275344.710842716,14678.4128952009,549947.602186357
58,0.25537981864753,-2.96501081627064e-06,0.000926161777471819,-0.0665456521182344,-0.0444664381491568,0.000550652007133406,2.10642660458809,2.28021087409299,0,0,0,0,0,0,2.94599922984439,2.40712365124838,0.0192058503129816,-0.00161242253594683,-0.0174307073248708,0.0208002176141952,-0.0027218090372094,-0.0170288969002084,260900.857454686,275373.254654669,14772.0194082695,551046.131517624
59,0.25779650344844,-4.14085008287042e-05,0.000882006796414122,-0.069068292001702,-0.0471555238353647,0.000538334367000274,2.08579778734373,2.24785949210894,0,0,0,0,0,0,2.8813651401448,2.35780937798545,0.0193718514003086,-0.00113790383952083,-0.01761866393837,0.02088244636268,-0.002170966827557,-0.0172140965840109,261929.656935,275488.856419368,14867.2538606958,552285.767215064
60,0.260322612716493,-7.72570713902518e-05,0.000837081896405421,-0.0717305903388785,-0.0498076910133184,0.000525280984967149,2.06599426122407,2.21689582214605,0,0,0,0,0,0,2.82020097817193,2.31218826432874,0.019540538605608,-0.000617933256076112,-0.0178495606332846,0.0209691194921779,-0.00157439677224636,-0.0174417596898961,263008.210995348,275693.584788889,14964.1162524799,553665.912036717
61,0.262958797092361,-0.000110336260907055,0.000791822753525781,-0.0745338524640223,-0.0524248874130959,0.000511534091947031,2.04696916396892,2.18730261778611,0,0,0,0,0,0,2.76229542876514,2.2699237037096,0.0197118205578701,-5.21898169065004e-05,-0.0181222276281801,0.0210607057188548,-0.000932597890956329,-0.0177107725498395,264134.813676841,275988.757121873,15062.6065836217,555186.177382336
62,0.265706039662837,-0.000140559484393878,0.000746594225650083,-0.0774795407633813,-0.0550091210330069,0.000497132714552736,2.02868693486333,2.15905746845577,0,0,0,0,0,0,2.70745698010201,2.23071943860464,0.0198856959246965,0.000559534266756674,-0.0184355928298281,0.0211576168214617,-0.000246026358392071,-0.0180201188804443,265308.550310816,276375.13084672,15162.7248541211,556846.406011657
63,0.268565637879947,-0.000167911034185914,0.00070169983061914,-0.080569279511877,-0.0575624523363737,0.000482115316307729,2.01112126200935,2.13213454849303,0,0,0,0,0,0,2.6555121045672,2.19431450531008,0.0200622407477358,0.00121735003101283,-0.0187886754008447,0.0212602207020039,0.000484901063764473,-0.0183688723883763,266529.161253378,276853.063119147,15264.4710639783,558646.695436504
64,0.271539274621888,-0.00019243263274952,0.000657389498425273,-0.0838049329208722,-0.0600871215630111,0.000466521544729466,1.99425366558518,2.10650619663007,0,0,0,0,0,0,2.60630392618022,2.16047912388113,0.0202416019675643,0.00192131363630629,-0.0191805972722827,0.0213688558904735,0.00125983283407644,-0.0187562071422939,267796.953006418,277422.657484982,15367.8452131933,560587.455704593
65,0.274629011238946,-0.000214209867052195,0.000613866909951038,-0.0871886203783755,-0.0625855317099913,0.000450392793720157,1.97807212812972,2.08214409968228,0,0,0,0,0,0,2.55969070292695,2.12901107088807,0.0204239887375808,0.00267144375368762,-0.0196105805212893,0.0214838421383397,0.00207848225953729,-0.0191813945144102,269112.708126803,278083.876312815,15472.8473017659,562669.431741383
66,0.277837225311776,-0.000233359878203065,0.000571296224595956,-0.0907226776114457,-0.0650601494582852,0.000433772040502703,1.96256985612033,2.05902015119435,0,0,0,0,0,0,2.51554428507944,2.09973246703914,0.0206096629509032,0.00346771523662828,-0.0200779316673882,0.0216054878221951,0.00294060380703591,-0.0196437874693366,270477.601633461,278836.62516875,15579.4773296962,564893.704131908
67,0.281166632678294,-0.000250022509451385,0.000529807473915793,-0.0944096850061361,-0.0675135396920808,0.000416703615531116,1.9477445332472,2.03710728152928,0,0,0,0,0,0,2.47374905789752,2.07248716921496,0.0207989353956977,0.00431007505489419,-0.0205820419366208,0.02173409926668,0.00384599592624099,-0.0201428204651406,271893.156287123,279680.836114459,15687.7352969843,567261.727698566
68,0.284620319951086,-0.000264352987920254,0.000489501243612727,-0.0982525045838528,-0.0699484069496574,0.000399232742060781,1.93359777953394,2.01638016445239,0,0,0,0,0,0,2.43420104355708,2.04713855125885,0.0209921636418918,0.00519845940751229,-0.0211223897546601,0.0218699896742578,0.00479450659244271,-0.0206780116330748,273361.213541193,280616.541167667,15797.6212036301,569775.375912491
69,0.28820117243659,-0.000276513372788366,0.000450453697978861,-0.102253801793939,-0.0723670783417179,0.000381402877692326,1.92012907501609,1.99680999595324,0,0,0,0,0,0,2.39679995489194,2.02356168944518,0.0211896780997232,0.00613268098524304,-0.0216984173809433,0.0220134132796085,0.005785907218749,-0.0212488428193626,274883.416255287,281643.406138777,15909.1350496336,572435.957443698
70,0.291910841414797,-0.000286664627041593,0.000412721513089937,-0.106415184649573,-0.0747706102311527,0.000363253033279155,1.90732600022154,1.97835527867503,0,0,0,0,0,0,2.36143692053085,2.00163192804627,0.0213916536814459,0.00711224297442775,-0.0223093280245233,0.0221644424900812,0.00681969404744362,-0.0218545620182682,276460.34184351,282759.883888626,16022.2768349948,575242.502567131
71,0.29575098834143,-0.000294969002520988,0.000376342421656378,-0.110738370055305,-0.0771599230781932,0.00034482371308121,1.89517573147059,1.96097417689959,0,0,0,0,0,0,2.32800905879863,1.98123568069895,0.0215982520964359,0.00813671047477543,-0.0229543982301588,0.0223231188737037,0.00789546004149803,-0.0224944866422195,278092.492717627,283964.327893236,16137.0465597137,578193.867170576
