U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
0,0.28797185038687,-0.0106836826406024,7.36910790200854e-05,0.00670611119422175,0.0461691481834024,-0.000940224501900574,5.21129349817156,10.0955570127726,0,0,0,0,0,0,18.8402954654145,13.5350107215658,0.0163465333427771,-0.00493203806424863,0.00299508045235417,0.0221353184680004,-0.00499666292536246,0.00288597747627727,307572.513632853,592428.781221048,12033.8254085925,912035.120262494
1,0.287401675471856,-0.0104306195004623,5.15878333315945e-06,0.00423593090292954,0.0478189847274421,-0.000901237732373309,5.2563228438527,10.0681313926129,0,0,0,0,0,0,18.7018657955992,13.5033291387525,0.0163773847525941,-0.00520628832736244,0.000449857247748238,0.0220849219141816,-0.00519151094252085,0.000396357998254584,309518.046509091,590279.846312346,12034.6393782713,911832.532199708
2,0.286547812152827,-0.0101303870595751,-5.62897359104733e-05,0.00179148010128398,0.0494152163222203,-0.000859122162885678,5.30145427121129,10.0153645789328,0,0,0,0,0,0,18.5130501105785,13.435117848329,0.0164016151508376,-0.00548169283307942,-0.00207658427009842,0.0220303188245475,-0.00539277770406275,-0.00207471582661098,311490.332941963,587028.772843116,12037.0812873079,910556.187072388
3,0.28542389220268,-0.00978798173370905,-0.000105991941368953,-0.000616520406161002,0.0509335360964862,-0.000811267302009028,5.34533080187913,9.93676467878589,0,0,0,0,0,0,18.2765283229366,13.331497849267,0.0164194287215534,-0.00575488899828254,-0.00457057469144628,0.0219717298404832,-0.00559862237441832,-0.00451334583276502,313443.726061907,582661.955082798,12041.1511357022,908146.832280408
4,0.284045462556653,-0.00940845264359993,-0.00013973198028672,-0.00297721367444177,0.0523508912813284,-0.000755424695618126,5.38633460733115,9.83207316639973,0,0,0,0,0,0,17.9951953736189,13.1938124351971,0.016431102794333,-0.00602265394083955,-0.00701756609119371,0.0219093865423283,-0.00580714147723135,-0.00690484447394274,315323.918115539,577175.739892332,12046.8489234542,904546.506931325
5,0.282430242703614,-0.00899673007470353,-0.000153900513771689,-0.00527959757476802,0.0536458727154367,-0.000689791693141741,5.4226394541101,9.70130718392546,0,0,0,0,0,0,17.6721672125087,13.0237231565049,0.0164370476882674,-0.0062819168319672,-0.00940201609159319,0.0218434821959628,-0.0060163857191796,-0.00923363371095979,317070.244740288,570577.075639146,12054.1746505639,899701.495029998
6,0.280598455083855,-0.0085575098389309,-0.000145687847437,-0.00751258450588593,0.054799205476336,-0.000613115230590913,5.45228235035137,9.544813513393,0,0,0,0,0,0,17.3108105304324,12.8233113299627,0.0164378662779039,-0.00652979237109049,-0.0117074033768522,0.02177412433695,-0.00622439861415578,-0.0114832765292531,318618.650235199,562884.818626763,12063.1283170313,893566.597178993
7,0.278573199261903,-0.00809520889654946,-0.000113307809778152,-0.0096651543308169,0.0557943485886181,-0.000524814392964849,5.47325780046779,9.36333021276441,0,0,0,0,0,0,16.9147955641259,12.5951776059352,0.0164344097039585,-0.00676364158994804,-0.0139164187779647,0.0217012915485617,-0.00642927738936207,-0.0136366845844422,319905.370781105,554131.629598621,12073.7099228565,886110.710302582
8,0.276380811663974,-0.00761399827509701,-5.62382814107531e-05,-0.0117266242056657,0.0566181891360677,-0.00042511262838405,5.48363611600941,9.15804752588617,0,0,0,0,0,0,16.4881654819507,12.3425283903367,0.0164278239790899,-0.00698116407690058,-0.0160113761899304,0.021624797473957,-0.00662925393793266,-0.0156765441866334,320871.304254674,544366.199653145,12085.9194680394,877323.423375859
9,0.274049299468961,-0.00711816182440148,2.45970544720747e-05,-0.0136869343151006,0.0572615122536817,-0.000315132641811027,5.48168176025071,8.93091665897782,0,0,0,0,0,0,16.0352352823718,12.0688524941033,0.0164193602358001,-0.00718048301938623,-0.0179748080036099,0.0215444242724389,-0.00682277306603992,-0.017585923109868,321463.999380952,533670.395664386,12099.7569525799,867234.151997917
10,0.271600345910513,-0.00661319902859956,0.000126987492972203,-0.0155364758218873,0.0577181691748386,-0.000196750528634281,5.4658947716933,8.68563086549312,0,0,0,0,0,0,15.5598560968691,11.7762658067481,0.0164093891814711,-0.00736004901653051,-0.0197898628787173,0.0214606332688892,-0.00700848100083314,-0.0193486571377947,321629.218642391,522217.807068565,12115.2223764782,855962.248087434
11,0.269054277026929,-0.00610483735018146,0.000247589073314128,-0.0172665418355523,0.0579856648079023,-7.24241965638597e-05,5.43517467677519,8.42643785316281,0,0,0,0,0,0,15.0658702734414,11.4665950188326,0.0163979571960484,-0.00751871679847932,-0.0214409715985167,0.0213741744482876,-0.00718528657090318,-0.0209499517389217,321321.972553638,510210.344983052,12132.3157397342,843664.633276424
12,0.266432421225998,-0.00559855738685162,0.00038215800561236,-0.0188698268617196,0.0580656541328778,5.49607343218416e-05,5.38894480162271,8.15755142018573,0,0,0,0,0,0,14.5573317390665,11.1419057894306,0.016385060160409,-0.00765584362500537,-0.0229146441670909,0.0212858882268297,-0.00735244531087152,-0.0223771228666722,320513.678360958,497847.095790409,12151.037042348,830511.811193715
13,0.263756623088091,-0.00509950880372512,0.000525926268739264,-0.0203407919820186,0.0579639180996288,0.000182315812221863,5.32720766373928,7.88302163932949,0,0,0,0,0,0,14.0384426555304,10.8044395426406,0.0163705945282072,-0.00777132687975008,-0.0242002098587339,0.0211967329405006,-0.00750961347916701,-0.0236202771936463,319193.983832123,485318.871193535,12171.3862843194,816684.241309978
