U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
65,0.20554348077078,-0.0187728973691438,0.0237002355950781,0.00777920944480653,-0.0173777490337485,-0.00900349307436318,1.62803198953263,1.69841347099702,0.0902041630553528,1,0.436332312998582,-0.0969949797224264,0.0109266208049792,0.0468436422712714,2.09669161636307,1.73542468995498,0.0159352169651106,-0.00888984719347586,0.00223260332357796,0.0160118610420606,-0.0888488466111258,0.00169491802373422,241870.343958438,246846.410627752,15647.7510685679,504364.505654758
70,0.186840030227496,-0.00998155863233087,0.0138238965915443,0.0341975655573796,0.000669076080293569,-0.00506928304500479,1.48950007729607,1.51852316098589,0.248489531129157,1,0.436332312998582,-0.0410987344598353,0.00603062326633945,0.0225384132038168,1.83121680768312,1.53552251746169,0.0151723831720307,-0.0421961909287706,0.0169156767646538,0.0151507992028921,-0.0817624864399025,0.0128620740472668,243522.982671674,245516.26398413,20088.8602965036,509128.106952308
75,0.212077700575308,-0.0164013367221046,0.0169034313990156,0.00700520445000209,-0.0321594149727522,-0.00645567703140611,1.43260034662317,1.42611831388112,0,1,0.436332312998582,-0.05746281382973,0.0167543274029416,0.0353129823713909,1.69665009610891,1.43457623385798,0.0161073605901621,-0.0289146703460274,0.00173693002624565,0.0154832855681899,-0.0854078245839152,0.000903876304876247,250901.196411089,250426.920124038,16798.3136355439,518126.430170671
80,0.00745120153470676,-0.00137329128883577,0.0282898149095696,0.245444762058825,0.0971603937676015,-0.0626765776970975,0.831506569080696,1.2990122796742,0.503023576784818,1,0.333682881719845,-0.105778048712589,-0.0174532925199433,0.0165712636690978,1.02472234580038,1.30135464851912,0.00622436095924887,-0.114900476244433,0.102416319192311,0.0118812020574236,-0.172524365300644,0.0732359138859135,226919.047854081,253235.290661362,46617.1558228046,526771.494338247
85,0.150093245699776,-0.0134436275459409,0.0251953503789456,0.0984962186512326,-0.0167972183158951,-0.0222936901957968,0.998421797491003,1.35067541405303,0.352395224055599,1,0.436332312998582,-0.0569780991678899,-0.0171523778632845,0.0382578684665753,1.16451626514036,1.35215421794262,0.0113642684451579,-0.050828883369362,0.0594540860122776,0.0156553759212088,-0.127456696856175,0.0482540268489093,245367.126345472,268474.927989316,25555.6058419054,539397.660176693
90,0.0048126638628131,-0.0275000238668415,0.0604196171365942,0.274332240742327,-0.0365605335766096,-0.13602077326543,0.510871422128376,1.31871309578192,0.259623009510557,1,0.436332312998582,-0.198246421636329,-0.0174532925199433,0.0785398163397448,0.641329428512381,1.31907587674286,0.00333784410155565,-0.0761345862539208,0.11446916024673,0.0133457416393069,-0.243935813815189,0.0773782073484604,234714.070051435,278535.963318464,22122.3826144455,535372.415984345
95,0.00198921212445381,-0.00430688410922864,0.0275183138792299,0.285261552794597,0.0197480669546606,-0.0617241058579693,0.680333324895827,1.05682749514375,0.470081667921012,1,0.425243079028823,-0.0806265177877534,-0.0174532925199433,0.0192535517521665,0.765878668014924,1.05707276591378,0.00585799818732711,-0.135977347554465,0.111847326562284,0.0111071711545209,-0.195766976379823,0.0847285736291999,251423.211635549,271874.937780216,36859.4471727385,560157.596588503
100,0.230813713356671,-0.028196134328043,0.0213655737904361,0.00574539883375835,-0.0672738823439262,-0.00809949689718094,1.03447480882508,1.09313938491966,0.16147160994553,1,0.436004083934128,-0.0487137391144186,0.0134316452652285,0.0539212684948765,1.10954935358557,1.0933534102581,0.0154148706898239,-0.0335849731906212,0.0126522590748054,0.0155372702557157,-0.112269951209643,0.0120512096551159,282615.594761513,286714.949747295,21039.4524131086,590369.996921916
105,0.184756908304113,0.0222338881840317,0.0502345497300439,0.0686538414346377,-0.120318671070061,-0.0810704173614484,0.379878750566902,2.2846395279274,0.46447026926216,1,0.436263316688876,-0.0878746546348192,-0.0174457083146039,0.0393936313255066,0.510389305979595,2.28468170769079,-0.00856315421670028,0.0124500565474335,0.0639631484817194,0.035719828110907,-0.184066056738768,0.0336460001109516,263458.979927885,437650.192036276,36100.9858960711,737210.157860232
110,0.241534913697855,-0.0419211393711043,0.0212123306097379,-0.00122544320090891,-0.0749989169486693,-0.00596832452844396,1.10846365193952,0.827701909985247,0.193543439197813,1,0.436332312998582,-0.0476565623600273,0.0174512174944822,0.0646030357213922,1.14671262777057,0.8277620318186,0.0184359529262635,-0.0430459241447997,0.0105416656499723,0.0124018398385767,-0.114640193673316,0.0106949279064281,314510.01697117,294855.948225248,23281.3523128108,632647.317509229
115,0.274800583590677,-0.0753309286383444,-0.00305428840071286,-0.0321838044503983,-0.0848161540457681,0.00315483470592145,2.36203676177868,0.458643630422927,0.447188708606701,1,0.436033553014096,-0.121882938041122,-0.0151123810720464,0.0446636758799095,2.37952823983948,0.458710588657642,0.0429613100995687,-0.105847832769829,0.0306837107357339,-0.010416874873186,-0.0105476921801404,0.0285472191576157,493550.237285953,290185.713555463,34646.7818978113,818382.732739227
120,0.305693668882948,-0.0174942034488124,-0.00569447316740747,-0.0729020201883106,-0.111673283248826,-0.0123122178056218,1.40960656206744,0.479243968960585,0.124550193889811,1,0.436332312998582,-0.0400561112312951,0.00771681915971086,0,1.42480735512295,0.47926540538103,0.0261220315296467,-0.0833863132319824,0.00731129795639396,0.00784549231274232,-0.0281873237257414,0.00540529913116069,373218.350316841,303949.681818512,24044.4113783558,701212.443513709
125,0.287689475610686,-0.0663656133085088,-0.00494861995967772,-0.0430497582476257,-0.0990129126410866,-0.00388096034613181,2.10392379382417,0.344923173090806,0.486427619492382,1,0.436332312998582,-0.114190638122414,-0.0174532925199433,0.0362148712268481,2.11281815310937,0.344939067739031,0.0412083197631984,-0.112519172068991,0.0342000144317324,-0.00863159839633714,-0.005415223492653,0.0297141024496997,490145.134070656,313000.624891883,40576.1525920168,843721.911554556
130,0.280889501060253,-0.0557670556605469,-0.00651078729087536,-0.032010313812681,-0.0904592931084404,0.00406032941978439,1.91941386897757,0.246618970863901,0.521709024746345,1,0.436332312998582,-0.0866408089400817,-0.0174532925199433,0.0256548111535037,1.92459999841485,0.246626250175745,0.0386768846933622,-0.121359516145761,0.0380016932285296,-0.00674955908622632,-0.00945610140322256,0.032539571256104,479490.343943623,324464.976683957,48657.5410906643,852612.861718244
