U,Prop_theta_0,Prop_isEnable,delta_e,delta_r,theta_1c_diff,theta_1s_diff,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
100,0.288518785500436,0,-0.401747340430335,0.0372829831706679,0.0132407091450718,0.0245385353101048,0.713167605265004,-0.0133102588086036,-0.00312369324197546,-0.671025888251412,-0.126660221973949,0.0144862356039147,2.44224841475472,2.75218940087107,2.63905943594237,2.75276863002059,0.049568440537575,0.164129160887056,-0.152937878715457,0.0436408618367571,0.169013302511221,-0.145092135718423,471649.987055955,468597.706914404,24161.1603981324,960421.216167527
100,0.541624051304264,0,-0.109892204060008,-0.505990094249501,-0.0121505170850655,0.00685678137455098,0.70448605804414,0.168495768848069,-0.0558677852361612,-0.631425161376033,-0.415083733525492,-0.203821868126753,6.26258070779276,1.75539480856931,6.43306216568805,1.75957304365149,-0.0331591839202806,0.320514240154142,-0.226806498319573,0.116806562947509,0.0266618225648855,-0.0687113554867773,739124.354204477,629642.095423892,58815.8590561906,1388939.97182554
100,0.0205820849319591,0,-0.0675132430196981,0.145368810586155,0.000670242424888117,0.0297730867194895,0.763367811987209,-0.0439903948218617,0.0101233837351491,-0.664319307864708,-0.138745880437597,0.101146588238516,1.60844614039417,3.53957612734378,1.86841418772933,3.53999362671079,0.0689829905434209,0.102842328847569,-0.104409822802031,0.0267365474013036,0.196776272406864,-0.149731264726666,452035.768449996,411821.7888655,20233.8217353182,884031.079512664
100,0.549054513301479,0,-0.231598522878633,-0.518037573486308,0.0132511530626109,0.0510551601700245,0.726846839177591,0.157779102353481,-0.0732875868724171,-0.680774030206382,-0.419485263545223,-0.217738619727204,6.42394387400429,1.86765327565783,6.60577759806592,1.87197519409253,-0.0333475021808469,0.341739097122086,-0.279943203529196,0.119233335548915,0.0298009973479667,-0.0855267768181036,765456.705031672,662871.529888077,62171.3501204433,1448501.75711692
100,0.255586796716694,0,-0.280389390510745,0.198504895378987,-0.00838351137418238,0.0425619389716942,0.80281042492828,-0.0396310836319447,0.00180335874312058,-0.754507317634826,-0.0314580175149398,0.180640388847362,1.72629498584184,3.67882251730662,1.98529606643088,3.67921091021886,0.0713567069563927,0.14125757676928,-0.124596729440051,0.0286254617639951,0.251481082820728,-0.169762026681363,475615.224453867,432293.71393225,23218.3193351541,928082.460583286
100,0.475315283257324,0,-0.223840935150325,-0.467984470351749,-0.0144088278360413,0.0615332076908744,0.702645579446788,0.164474384356792,-0.0506653037547486,-0.64838612836008,-0.386159917857821,-0.202036563955698,6.16818971523046,1.54633109645966,6.31128751376405,1.54982678399287,-0.030518573350357,0.328398730854644,-0.225733571347725,0.11567329967512,0.0389103780544976,-0.0742524358630349,697086.661650432,581299.915824747,38320.4565501282,1298560.09967235
100,0.18530825103312,0,-0.340737352270459,0.373378143859123,-0.0143748563942308,0.0216701072385318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.610294525157909,0,-0.117778139788196,0.465278491985418,0.00846096965601049,0.0706965624276696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.329470070908379,0,-0.0952549579735793,0.447796555410073,-0.0132135292608785,0.0703134450791943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.413080732592767,0,0.126311862930036,-0.0174939134965113,0.0136343037609315,0.00484041143132232,0.6797217525979,0.00331602281392666,-0.00399879441428552,-0.52267781228688,-0.25936428935586,-0.0114776737202167,2.61677769727845,2.18448728287986,2.79370783093371,2.18543258249616,0.0384718915136074,0.105131904547613,-0.110123473408023,0.0488524631943993,0.0710447827288045,-0.0877855904387533,428874.984470466,442402.243779296,30734.8657333045,891450.75044693
